retrieved_context,question,reference,response,faithfullness,answer_relevance,answer_correctness
"[Chunk 1]
الأشخاص: جعفر بن محمد الصادق، موسى بن جعفر الكاظم
التواريخ: 25 رجب 183، 7 صفر 128 ه
النص: موسى بن جعفر الكاظم ( 7 صفر 128 ه -25 رجب 183 ه ) أحد أعلام المسلمين ، والإمام السابع عند الشيعة الإثنا عشرية ، والده هو الإمام جعفر بن محمد الصادق أحد فقهاء الإسلام ، قضى جزءا من حياته في السجن ، وعاصر فترة حساسة من تاريخ المسلمين

[Chunk 2]
الأشخاص: جعفر الصادق، مروان بن محمد، موسى الكاظم، موسى بن جعفر الكاظم
الأماكن: الاب، المدينة المنورة
التواريخ: الاحد السابع من شهر صفر من، يوم
النص: ولد الإمام موسى بن جعفر الكاظم في قرية يقال لها الأبواء وكانت ولادته يوم الأحد السابع من شهر صفر من سنة 128 وقيل سنة 129 هجرية ، في أيام حكم مروان بن محمد وبعد فترة وجيزة من ولادته ارتحل أبوه الإمام جعفر الصادق إلى المدينة المنورة فأطعم الناس إطعاما عاما لمدة ثلاثة أيام تيمنا بولادة موسى الكاظم

[Chunk 3]
الأشخاص: موسى
النص: وصف موسى بالحسن والجمال منذ طفولته ، أما على الصعيد الديني فقد وصف "" بالأمين في كل بيت الله "" ، و "" رجل الله """,ماذا يكنى موسى بن جعفر الكاظم ؟,أبو إبراهيم وأبو الحسن,"كنية موسى بن جعفر الكاظم هي ""الأمين في كل بيت الله"" و""رجل الله"".",0.93,0.92,0.3
"[Chunk 1]
المنظمات: للمملكة العربية، وزارة الداخلية السعودية
الأماكن: المملكة العربية السعودية
النص: وزارة الداخلية السعودية هي الوزارة المسؤولة عن جميع إمارات المناطق ال 13 وأحوال المناطق والأمن الداخلي للمملكة العربية السعودية وحراسة حدودها مع الدول المجاورة والسلامة وخدمة المواطنين في المملكة العربية السعودية

[Chunk 2]
المنظمات: مجلس الوكلاء، وزارة الداخلية
الأماكن: الحجاز، الرياض، المملكة
التواريخ: / 11 /، 26 / 8 / 1370 ه، 4 /، 9 / 3 / 1353، عام 1370 ه، عام 1375 ه، عام 1380 ه
النص: استمرت وزارة الداخلية على هذا الوضع حتى صدر الأمر الملكي الكريم رقم 18 / 4 / 10 وتاريخ 9 / 3 / 1353 ه الذي دمج اختصاصات الوزارة بديوان رئاسة مجلس الوكلاء ، فأصبحت المهام التي كانت تقوم بها وزارة الداخلية منوطة برئاسة مجلس الوكلاء في عام 1370 ه أعيد إنشاء وزارة الداخلية ، بالمرسوم الملكي رقم 5 / 11 / 8697 وتاريخ 26 / 8 / 1370 ه ، فأصبحت الوزارة مسؤولة عن الإدارة المحلية الممثلة في إمارات المناطق والقطاعات الأمنية في منطقة الحجاز ، وبعد أن انتقلت الوزارة من الحجاز إلى الرياض في عام 1375 ه تولت الإشراف تدريجيا على مناطق المملكة ، حتى اكتمل إشرافها في عام 1380 ه

[Chunk 3]
الأماكن: الامارات، المملكة
التواريخ: 2012 م
النص: كان يبلغ عدد المحافظات في المملكة 118 محافظة تحتسب ضمنها مراكز الإمارات إلى أن تمت الموافقة سنة 2012 م على زيادة عدد المحافظات لتصل بذلك إلى 134 محافظة بدون احتساب مراكز إمارات المناطق",كم عدد امارات المناطق التي تقع تحت مسؤولية وزارة الداخلية السعودية ؟,13,تشرف وزارة الداخلية السعودية على 13 إمارة منطقة.,0.94,0.93,0.91
"[Chunk 1]
النص: تدعى الخطوط الأفقية في المصفوفة بالأسطر بينما تدعى الخطوط العمودية باسم عمود

[Chunk 2]
النص: أما الأعداد فتدعى مدخلات المصفوفة أو عناصر المصفوفة ترمز إلى مصفوفة بحرف لاتيني كبير وتحته عددين طبيعيين على شكل جداء هما m و n حيث m هو عدد الصفوف و n عدد الأعمدة وبالتالي تعرف المصفوفة بعدد الصفوف والأعمدة ("" m "" × n مصفوفة ), وتعرف m و n بأبعاد المصفوفة فأبعاد المصفوفة أعلاه هي 3 * 4 أي 4 أسطر و 3 أعمدة

[Chunk 3]
النص: B لا يساوي B A تعرف المصفوف المؤلفة من صف واحد أو عمود واحد بمتجه أما المصفوفة ذات القياس الأكبر تعرف بموتر",ماذا تسمى الخطوط الافقية في المصفوفة ؟,بالأسطر,تسمى الخطوط الأفقية في المصفوفة بالأسطر.,0.92,0.93,0.91
"[Chunk 1]
الأشخاص: عبد العزيز بوتفليقة
الأماكن: وجدة
التواريخ: 2 مارس 1937
النص: عبد العزيز بوتفليقة ( 2 مارس 1937 ، وجدة -) ، الرئيس العاشر للجزائر منذ التكوين والرئيس السابع منذ الاستقلال

[Chunk 2]
الأشخاص: عبد العزيز بوتفليقة
المنظمات: الجزايري، الجيش
الأماكن: الجزاير
التواريخ: 2019، عام 2019
النص: استمر تأييده في البداية لترشح الرئيس السابق لولاية خامسة ، وخلال الحراك الشعبي الجزائري المناهض للعهدة الخامسة للرئيس الجزائري عبد العزيز بوتفليقة خلال الانتخابات الرئاسية الجزائرية 2019 ، قبل أن يتبني الجنرال خطابا تصالحيا ، أعلن فيه دعم الجيش للشعب الجزائري عقب الحراك الشعبي في الجزائر عام 2019

[Chunk 3]
الأشخاص: تركي الثاني، حصة بنت احمد السديري، سلمان، عبد الرحمن، عبد العزيز الذكور، نايف
الأماكن: الرياض
النص: هو الابن الخامس عشر من أبناء الملك عبد العزيز الذكور ، ولد في مدينة الرياض والدته هي الأميرة حصة بنت أحمد السديري ، وهو أحد من يطلق عليهم مصطلح السديريون السبعة وهم الملك فهد وولي العهد نائب رئيس الوزراء وزير الداخلية السابق الأمير نايف والأمير عبد الرحمن نائب وزير الدفاع والطيران والمفتش العام سابقا والأمير تركي الثاني والملك سلمان والأمير أحمد",من عبد العزيز بوتفليقة ؟,الرئيس العاشر للجزائر منذ التكوين,عبد العزيز بوتفليقة هو الرئيس العاشر للجزائر منذ التكوين والرئيس السابع منذ الاستقلال.,0.88,0.93,0.93
"[Chunk 1]
المنظمات: الجمهورية اليمنية
الأماكن: جنوب غرب شبه الجزيرة العربية، غربي اسيا
النص: اليمن أو ( رسميا الجمهورية اليمنية ) ، هي دولة عربية تقع جنوب غرب شبه الجزيرة العربية في غربي آسيا

[Chunk 2]
المنظمات: الجمهورية العربية اليمنية، الدولة العثمانية، المملكة المتوكلية اليمنية، جمهورية اليمن الديمقراطية الشعبية
الأماكن: بشمال اليمن، جنوب اليمن
التواريخ: 22 مايو 1990، العام 1967، عام 1918، عام 1962
النص: استقل ما عرف بشمال اليمن عن الدولة العثمانية عام 1918 وقامت المملكة المتوكلية اليمنية إلى إسقاطها عام 1962 وقيام الجمهورية العربية اليمنية ، بينما بقي جنوب اليمن محمية بريطانية إلى العام 1967 وقيام جمهورية اليمن الديمقراطية الشعبية تحققت الوحدة اليمنية في 22 مايو 1990

[Chunk 3]
الأماكن: البحر الاحمر، المملكة العربية السعودية، اليمن، بحر العرب، سلطنة عمان
النص: يحد اليمن من الشمال المملكة العربية السعودية ومن الشرق سلطنة عمان ، ولها ساحل جنوبي على بحر العرب وساحل غربي على البحر الأحمر ولدى اليمن أكثر من 200 جزيرة في البحر الأحمر وبحر العرب أكبرها جزيرتي سقطرى وحنيش",ما الاسم الرسمي لدولة اليمن ؟,الجمهورية اليمنية,الاسم الرسمي لدولة اليمن هو الجمهورية اليمنية.,0.93,0.91,0.91
"[Chunk 1]
الأماكن: الاسكندرية
التواريخ: 25 نوفمبر سنة 30، عام 307 م
النص: ولما بلغت الثامنة عشر أتمت دراسة اللاهوت والفلسفة وتعمدت في عام 307 م حضر القيصر مكسيميانوس إلى الإسكندرية ، فأمر بعبادة الأوثان ، واضطهد القديسة ، وعذبها حتى أنه أمر بقطع رأسها في 25 نوفمبر سنة 307 م

[Chunk 2]
الأشخاص: م بن عدي
الأماكن: بالمدينة، بمكة
النص: وهي يومئذ صغيرة وأنها أسلمت بعد ثمانية عشر فقط وهناك حديث شكك في صحتة يقول بأن عمرها عند العقد ست سنوات وخطبها النبي محمد بمكة ، وبنى بها بالمدينة وهي بنت تسع سنوات وهو مختلف فيه حيث أنه "" الحديث "" يذكر أنها كانت مخطوبة لمطعم بن عدي ثم رجع عن خطبتها

[Chunk 3]
النص: كان عمره 7 أعوام حين قامت ثورة 1919 التي أثرت فيه وتذكرها فيما بعد في بين القصرين أول أجزاء ثلاثيته",كم كان عمر نوال السعداوي حينما تم ختانها ؟,في السادسة من عمرها,"لا يمكن الإجابة على هذا السؤال بناءً على المعلومات المتوفرة في السياق، حيث لا يذكر السياق أي معلومات عن عمر نوال السعداوي عند الختان.",0.7,0.3,0.4
"[Chunk 1]
المنظمات: المنتخب الاثيوبي، منتخب العراق
النص: وحقق فيها منتخب العراق الفوز على المنتخب الإثيوبي بثلاثة عشر هدفا مقابل لاشئ

[Chunk 2]
الأشخاص: احمد راضي، ث حسين، دي كاظم، ر حيدر، سعد قيس، نعيم صدام، يب جعفر
المنظمات: المنتخب الكونغولي، منتخب العراق
النص: وكان ذلك أكبر فوز عراقي في تاريخة ، سجل فيها أحمد راضي خمسة أهداف ، وكلا من سعد قيس وحبيب جعفر وليث حسين هدفين ، وهدف واحد لكلا من نعيم صدام ، ومهدي كاظم ، بينما ألغي هدف للاعب شرار حيدر بعدها لعب منتخب العراق مباراته الثانية مع المنتخب الكونغولي وفاز عليه بثلاثة اهداف نظيفة سجلها أحمد راضي هدفين وهدف لنعيم صدام

[Chunk 3]
الأشخاص: احمد راضي، سعد قيس
المنظمات: العراق، منتخب الاردن
الأماكن: اد الملك، عمان
النص: ليتأهل إلى النهائي ويلاقي منتخب الأردن في عمان على ستاد الملك حسين بغياب سعد قيس وخسر المباراة بهدفين نظيفين جاءا في الشوط الثاني ، فأحرز العراق المركز الثاني في البطولة بينما حصل أحمد راضي على لقب لقب هداف البطولة",كم هدف سجل أحمد رتضي في مبارة المنتخب العراقي ضد المنتخب الإثيوبي ؟,خمسة أهداف,سجل أحمد راضي هدفين في مباراة المنتخب العراقي ضد المنتخب الإثيوبي.,0.93,0.93,0.2
"[Chunk 1]
النص: العزم المغناطيسي الذاتي للإلكترون ينشأ عن دوران الإلكترون حول محوره ( دوران مغزلي ) ، والذي يعبر عنه بعدد الكم المغزلي

[Chunk 2]
النص: يتم وصف حالة تواجد الإلكترون في الذرة بأربعة أرقام للكم ثلاثة منها هي خواص المدار الذري الذي يوجد فيه ( يوجد شرح لاحق في هذه المقالة ) ، والرقم الرابع إما 12 أو -12 وهو يعبر عن الدوران المغزلي للإلكترون ( أي دورانه حول نفسه )

[Chunk 3]
النص: يحتل الإلكترون عادة مستوي طاقة الحالة القاعية وهي على سبيل المثال في النموذج المبين الحالة n = 1 و الحالة القاعية تسمى أحيانا الحالة الأرضية حيث لا يمكن لطاقة الإلكترون تقل عنها وقد ترتفع طاقة الإلكترون عن طريق الإثارة من الخارج واكتسابه طاقة ترفعه إلى الغلاف n = 2 وتسمي تلك الحالة حالة إثارة وهي تعني أن الإلكترون مثار وبالتالي أن الذرة في حالة إثارة فيبقى الإلكترون في حالة الإثارة فترة زمنية قصيرة حيث يفضل الهبوط إلى مدارة الأرضي حتى تستقر الذرة",ماذا يسمى دوران الإلكترون حول محوره ؟,دوران مغزلي,دوران الإلكترون حول محوره يسمى الدوران المغزلي.,0.93,0.93,0.92
"[Chunk 1]
التواريخ: عام 1992
النص: حتى عام 1992 ، أعلى درجة في كرة القدم الإنجليزية كانت الدرجة الأولى ومنذ ذلك الحين ، أصبح الدوري الإنجليزي الممتاز هو الأعلى

[Chunk 2]
الأماكن: انجلترا
التواريخ: 1992 م
النص: الدوري الإنجليزي الممتاز هو دوري كرة القدم للقسم الأول في إنجلترا وقد تم استخدام مسمى الدوري الممتاز في سنة 1992 م

[Chunk 3]
التواريخ: 1992، 1993، 20 فبراير 1992
النص: تم تشكيل مسابقة الدوري الإنجليزي الممتاز في 20 فبراير 1992 والذي حل محل الدوري الإنجليزي للمحترفين موسم 1992 -1993",ما هي أعلى درجة في كرة القدم الانجليزية حتى عام 1992 ؟,الدرجة الأولى,كانت أعلى درجة في كرة القدم الإنجليزية حتى عام 1992 هي الدرجة الأولى.,0.9,0.92,0.93
"[Chunk 1]
المنظمات: الامارات العربية المتحدة، مجلس التعاون لدول الخليج العربية، والامم المتحدة، وجامعة الدول العربية، ومنظمة التجارة العالمية، ومنظمة الموتمر الاسلامي، ومنظمة اوبك
النص: نظام الحكومة في دولة الإمارات العربية المتحدة هو نظام اتحادي دستوري ، دولة الإمارات عضو مؤسس في مجلس التعاون لدول الخليج العربية وجامعة الدول العربية والأمم المتحدة ومنظمة المؤتمر الإسلامي ومنظمة أوبك ومنظمة التجارة العالمية

[Chunk 2]
المنظمات: الامارات العربية المتحدة، المملكة المتحدة
الأماكن: الجنوب الشرقي، الشاطي الجنوبي الخليج العربي، الشمال الغربي، القراصنة، المملكة العربية السعودية، جنوب غرب قارة اسيا، ساحل عمان، سلطنة عمان، شرق شبه الجزيرة العربية
التواريخ: 1971، القرن 18، القرن 19، القرن 20، عام 1971
النص: الإمارات أو ( رسميا الإمارات العربية المتحدة ) هي دولة عربية اتحادية تقع في شرق شبه الجزيرة العربية في جنوب غرب قارة آسيا تطل على الشاطئ الجنوبي الخليج العربي لها حدود بحرية مشتركة من الشمال الغربي مع دولة قطر ومن الغرب حدود برية وبحرية مع المملكة العربية السعودية ومن الجنوب الشرقي مع سلطنة عمان ، قبل 1971 كانت دولة الإمارات العربية المتحدة معروفة باسم الإمارات المتصالحة أو ساحل عمان ، في إشارة إلى هدنة في القرن 19 بين المملكة المتحدة والعديد من شيوخ العرب كما تم استخدام اسم ساحل القراصنة في إشارة إلى الإمارات في المنطقة من القرن 18 إلى القرن 20 في وقت مبكر ويتكون النظام السياسي في دولة الإمارات العربية المتحدة إستنادا إلى دستور عام 1971 من عدة هيئات مرتبطة بشكل معقد الإدارة الإسلام هو الدين الرسمي واللغة العربية هي اللغة الرسمية

[Chunk 3]
الأشخاص: عبد الله بن عبد العزيز ال سعود
المنظمات: الامارات العربية المتحدة، البحرين، الكويت، المملكة العربية السعودية، سلطنة عمان، مجلس التعاون الخليجي، مجلس التعاون لدول الخليج العربية
الأماكن: سلطنة
التواريخ: عام 2011
النص: جميع الدول الأعضاء في مجلس التعاون لدول الخليج العربية هي دول ملكية ، اثنان منها دول نظام حكمها ملكي دستوري وهي دولة الكويت ومملكة البحرين ، ودولتان نظام حكمها ملكي مطلق وهي المملكة العربية السعودية ودولة قطر ودولة نظام حكمها سلطاني وراثي وهي سلطنة عمان ودولة نظام حكمها اتحادي رئاسي وهي الإمارات العربية المتحدة وهي عبارة عن سبع إمارات كل إمارة لها حاكمها الخاص في عام 2011 اقترح خادم الحرمين الشريفين الملك عبد الله بن عبد العزيز آل سعود في القمة الخليجية الثانية والثلاثين تحويل مجلس التعاون الخليجي إلى اتحاد خليجي والتنسيق فيما بينها سياسيا وعسكريا واقتصاديا وتم رفض الفكرة السعودية من قبل سلطنة عمان",ما هو نظام الحكم في دولة الامارات العربية المتحدة ؟,نظام اتحادي دستوري,نظام الحكم في دولة الإمارات العربية المتحدة هو نظام اتحادي دستوري.,0.9,0.93,0.93
