retrieved_context,question,reference,response,faithfullness,answer_relevance,answer_correctness
"[Chunk 1]
الأشخاص: جمال احمد حمزة خاشقجي
المنظمات: قناة العرب الاخبارية
الأماكن: السعودية، المدينة المنورة
التواريخ: 13 اكتوبر 1958، 2 اكتوبر 2018
النص: جمال أحمد حمزة خاشقجي ( 13 أكتوبر 1958 ، المدينة المنورة - 2 أكتوبر 2018 ) ، صحفي وإعلامي سعودي ، رأس عدة مناصب لعدد من الصحف في السعودية ، وتقلد منصب مستشار ، كما أنه مدير عام قناة العرب الإخبارية سابقا

[Chunk 2]
الأشخاص: جمال احمد حمزة خاشقجي
المنظمات: قناة العرب الاخبارية
الأماكن: السعودية، المدينة المنورة
التواريخ: 13 اكتوبر 1958، 2 اكتوبر 2018
النص: جمال أحمد حمزة خاشقجي ( 13 أكتوبر 1958 ، المدينة المنورة - 2 أكتوبر 2018 ) ، صحفي وإعلامي سعودي ، رأس عدة مناصب لعدد من الصحف في السعودية ، وتقلد منصب مستشار ، كما أنه مدير عام قناة العرب الإخبارية سابقا .

[Chunk 3]
المنظمات: الجمهورية التركية، الروم
الأماكن: اضول، البل، رق العربي، والان، والمش، وشمال افريقيا
التواريخ: 22 م
النص: هو زعيم عشيرة قايى التركية وعامل سلاجقة الروم على إحدى إمارات الثغور الأناضولية ومؤسس السلالة العثمانية التي حكمت البلقان والأناضول والمشرق العربي وشمال أفريقيا طيلة 600 عام إلى أن انقضى أجلها مع إعلان قيام الجمهورية التركية سنة 1922 م",من هو جمال أحمد حمزة خاشقجي ؟,صحفي وإعلامي,"صحفي وإعلامي سعودي، رأس عدة مناصب لعدد من الصحف في السعودية، وتقلد منصب مستشار، كما أنه مدير عام قناة العرب الإخبارية سابقا.",0.92,0.91,0.93
"[Chunk 1]
المنظمات: للدولة السعودية، واشنطن بوست
التواريخ: 2017
النص: ويكتب عمودا في صحيفة واشنطن بوست منذ 2017 ، وصف في الصحف وأجهزة الاعلام العالمية بأنه "" وفي للدولة السعودية "" و "" منتقد لسياساتها ""

[Chunk 2]
الأشخاص: جي كوداما، كونا، ي شينشا، يرو ياماموتو
المنظمات: استد، انيم، نن سندي، ون تي في، يو طوكيو، يومي
الأماكن: اليابان
التواريخ: 18 يونيو 1994، 8 اغسطس 2017
النص: ففي 8 أغسطس 2017 وصلت مانغا المحقق كونان إلى الفصل 1000 من فصول السلسلة تنشر المانغا أسبوعيا في مجلة شونن سندي الأسبوعية منذ 18 يونيو 1994 ، ثم يتم إنتاج حلقات الأنمي الخاصة بها بواسطة استديو طوكيو موفي شينشا ، ويخرج الحلقات كينجي كوداما وياسويشيرو ياماموتو وتعرض في اليابان على قناة نيبون تي في وقناة يوميؤوري وقناة أنيماكس

[Chunk 3]
الأشخاص: ld joh، دونالد جون ترامب
المنظمات: للولايات المتحدة الامريكية
الأماكن: الولايات المتحدة
التواريخ: 14 يونيو 1946، 20 يناير 2017
النص: دونالد جون ترامب ( بالإنجليزية Donald John Trump ) ( ولد في 14 يونيو 1946 ) هو الرئيس الخامس والأربعون للولايات المتحدة الأمريكية والحالي منذ 20 يناير 2017 ، وهو أيضا رجل أعمال وملياردير أمريكي ، وشخصية تلفزيونية ومؤلف أمريكي ورئيس منظمة ترامب ، والتي يقع مقرها في الولايات المتحدة أسس ترامب وأدار عدة مشاريع وشركات ومنتجعات ترفيهية ، التي تدير العديد من الكازينوهات ، الفنادق ، ملاعب الغولف ، والمنشآت الأخرى في جميع أنحاء العالم ، ساعد نمط حياته ونشر علامته التجارية وطريقته الصريحة بالتعامل مع السياسة في الحديث",في أي صحيفة قام بكتابة عمود منذ عام 2017 ؟,واشنطن بوست,كتب عمودا في صحيفة واشنطن بوست منذ 2017.,0.66,0.93,0.91
"[Chunk 1]
الأشخاص: خاشقجي، سلمان بن عبد العزيز، محمد بن سلمان
المنظمات: الحكومة السعودية
الأماكن: السعودية، اليمن
التواريخ: سبتمبر 2017
النص: غادر خاشقجي السعودية في سبتمبر 2017 ، وكتب بعد ذلك مقالات صحفية انتقد فيها الحكومة السعودية انتقد خاشقجي بصورة كبيرة ولي العهد السعودي محمد بن سلمان ، والملك سلمان بن عبد العزيز وكذلك عارض التدخل العسكري في اليمن

[Chunk 2]
الأشخاص: جمال احمد حمزة خاشقجي
المنظمات: قناة العرب الاخبارية
الأماكن: السعودية، المدينة المنورة
التواريخ: 13 اكتوبر 1958، 2 اكتوبر 2018
النص: جمال أحمد حمزة خاشقجي ( 13 أكتوبر 1958 ، المدينة المنورة - 2 أكتوبر 2018 ) ، صحفي وإعلامي سعودي ، رأس عدة مناصب لعدد من الصحف في السعودية ، وتقلد منصب مستشار ، كما أنه مدير عام قناة العرب الإخبارية سابقا .

[Chunk 3]
الأشخاص: جمال احمد حمزة خاشقجي
المنظمات: قناة العرب الاخبارية
الأماكن: السعودية، المدينة المنورة
التواريخ: 13 اكتوبر 1958، 2 اكتوبر 2018
النص: جمال أحمد حمزة خاشقجي ( 13 أكتوبر 1958 ، المدينة المنورة - 2 أكتوبر 2018 ) ، صحفي وإعلامي سعودي ، رأس عدة مناصب لعدد من الصحف في السعودية ، وتقلد منصب مستشار ، كما أنه مدير عام قناة العرب الإخبارية سابقا",متى غادر خاشقجي السعودية ؟,"في سبتمبر 2017 ،",غادر خاشقجي السعودية في سبتمبر 2017.,0.92,0.92,0.93
"[Chunk 1]
المنظمات: المملكة العربية السعودية
الأماكن: الجنوب الغربي من قارة اسيا، السعودية، الشرق الاوسط، شبه الجزيرة العربية
النص: السعودية ورسميا المملكة العربية السعودية هي أكبر دولة في الشرق الأوسط وتقع تحديدا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع

[Chunk 2]
المنظمات: المملكة العربية السعودية
الأماكن: الجنوب الغربي من قارة اسيا، الشرق الاوسط، شبه الجزيرة العربية
النص: السعودية أو ( رسميا المملكة العربية السعودية ) هي دولة عربية ، وتعد أكبر دولة في الشرق الأوسط وتقع تحديدا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع

[Chunk 3]
الأماكن: السعودية، ايران، بالشرق الاوسط، غرب اسيا
النص: وهي ثاني أكبر دول بالشرق الأوسط من حيث عدد السكان بعد مصر باجمالي 81 مليون نسمة وكذلك ثاني أكبر بلدان الشرق الاوسط مساحة بعد السعودية بمساحة تبلغ 1 ، 648 ، 195 كم 2 ما يجعلها تحتل المرتبة الثامنة عشر بين بلدان في العالم من حيث المساحة تتميز ايران بموقع جيوسياسي يجعلها نقطة التقاء لثلاث مجالات آسيوية ( غرب آسيا ووسطها وجنوبها )",أي دولة هي أكبر دولة في الشرق الأوسط ؟,المملكة العربية السعودية ),السعودية.,0.93,0.91,0.91
"[Chunk 1]
المنظمات: الدولة العثمانية، كس بيكو
الأماكن: البحر المتوسط، البحر الميت، بحيرة طبريا، سان ريمو، سورية، فلسطين، لبنان، والاردن، يج العقبة
النص: عقب الحرب العالمية الأولى وتبعاتها من سقوط الدولة العثمانية التي كانت تسيطر على فلسطين ومعاهدة سيفر ومؤتمر سان ريمو واتفاقية سايكس بيكو ، رسمت حدود الإنتداب البريطاني على فلسطين ، فكانت الحدود تمتد بشكل طولي من الشمال إلى الجنوب على نحو أربع درجات عرض ، حيث تمتد بين دائرتي عرض 29 , 30 و 33 , 15 شمالا وبين خطي الطول 34 , 15 و 35 , 40 شرقا ، بمساحة 26 , 990 كم 2 ، بما في ذلك بحيرة طبريا ونصف البحر الميت يحدها من الغرب البحر المتوسط بساحل طوله 224 كم ، ومن الشرق سورية والأردن ، ومن الشمال لبنان ، ومن الجنوب مصر وخليج العقبة

[Chunk 2]
المنظمات: الدولة العثمانية، كس بيكو
الأماكن: البحر المتوسط، البحر الميت، بحيرة طبريا، سان ريمو، سورية، فلسطين، لبنان، والاردن، يج العقبة
النص: عقب الحرب العالمية الأولى وتبعاتها من سقوط الدولة العثمانية التي كانت تسيطر على فلسطين ومعاهدة سيفر ومؤتمر سان ريمو واتفاقية سايكس بيكو ، رسمت حدود الإنتداب البريطاني على فلسطين ، فكانت الحدود تمتد بشكل طولي من الشمال إلى الجنوب على نحو أربع درجات عرض ، حيث تمتد بين دائرتي عرض 29 , 30 و 33 , 15 شمالا وبين خطي الطول 34 , 15 و 35 , 40 شرقا ، بمساحة 26 , 990 كم 2 ، بما في ذلك بحيرة طبريا ونصف البحر الميت يحدها من الغرب البحر المتوسط بساحل طوله 224 كم ، ومن الشرق سورية والأردن ، ومن الشمال لبنان ، ومن الجنوب مصر وخليج العقبة

[Chunk 3]
الأماكن: الجنوب الغربي، الشام، دي عربة، والشرق
النص: أما باقي الحدود فهي امتداد لبادية الشام في الشمال والشرق وصحراء النفوذ في الجنوب ، ووادي عربة إلى الجنوب الغربي",ما هي الحدود في الشمال ؟,يحدها من الشمال العراق والأردن,"تمتد الحدود في الشمال بين دائرتي عرض 29 , 30 شمالا.",0.6,0.7,0.33
"[Chunk 1]
الأشخاص: ابراهيم باشا، تركي بن عبد الله بن محمد، محمد بن سعود
المنظمات: ال سعود، السعودية، حايل
الأماكن: الجزيرة العربية، الدر، الرياض، المملكة السعودية
التواريخ: 115، 130، 189، 8 ه، عام 1233 ه / 1818 م
النص: حكم آل سعود تاريخيا في نجد ومناطق واسعة من الجزيرة العربية أكثر من مرة ، وتعتبر المملكة السعودية الحالية نتاجا ووارثة لتلك الكيانات التاريخية ، أول تلك الكيانات إمارة الدرعية التي أسسها محمد بن سعود سنة 1157 ه / 1744 وظلت حتى قاد إبراهيم باشا جيش والي مصر العثماني في حملة للقضاء عليها عام 1233 ه / 1818 م ، ويشار إلى تلك المرحلة باسم "" الدولة السعودية الأولى "" ، ولكن لم يطل الوقت بعد سقوط الدولة الأولى حتى أقام تركي بن عبد الله بن محمد إمارة جديدة لآل سعود في نجد ، اتخذت من الرياض عاصمة واستمرت حتى انتزع حكام إمارة حائل إمارة الرياض من آل سعود سنة 1308 ه / 1891 ، ويشار إلى تلك المرحلة ب "" الدولة السعودية الثانية ""

[Chunk 2]
الأشخاص: عبد العزيز ال سعود
المنظمات: العربية، رشيد، مملكة الحجاز
الأماكن: الحجاز، الرياض، السعودية، المملكة، طنة نجد
التواريخ: 1 ه / 23 سبتمبر 1932، 131، 135، 190، 9 ه، يناير من عام 1926
النص: لاحقا استرد عبد العزيز آل سعود الشاب سنة 1319 ه / 1902 إمارة الرياض من يد آل رشيد ، وتوسع مسيطرا على كامل نجد 1921 وتسمت بسلطنة نجد حتى نجح عبد العزيز بانتزاع مملكة الحجاز من يد الهاشميين ، فنصب ملكا على الحجاز في يناير من عام 1926 ، وبعدها بعام غير لقبه من سلطان نجد إلى ملك نجد ، وسميت المناطق التي يسيطر عليها مملكة الحجاز ونجد وملحقاتها ، وظلت بذلك الاسم حتى وحد عبد العزيز جميع المناطق التي يسيطر عليها في كيان واحد ، وكان ذلك في 1351 ه / 23 سبتمبر 1932 وأعلن اسمها "" المملكة العربية السعودية ""

[Chunk 3]
المنظمات: المملكة العربية السعودية
الأماكن: الجنوب الغربي من قارة اسيا، الشرق الاوسط، شبه الجزيرة العربية
النص: السعودية أو ( رسميا المملكة العربية السعودية ) هي دولة عربية ، وتعد أكبر دولة في الشرق الأوسط وتقع تحديدا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع",ما هي الكيانات الأولى في المملكة العربية السعودية ؟,أول تلك الكيانات إمارة الدرعية,"كما هو مذكور في السياق، الكيانات الأولى في المملكة العربية السعودية هي إمارة الدرعية التي أسسها محمد بن سعود سنة 1157 ه / 1744.",0.93,0.93,0.91
"[Chunk 1]
الأماكن: الركن الشمالي الشرقي من قارة افريقيا، جمهورية مصر العربية، شبه جزيرة سيناء، قارة اسيا
النص: مصر أو ( رسميا جمهورية مصر العربية ) هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا ، ولديها امتداد آسيوي ، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات ، قدر عدد سكانها ب 104 مليون نسمة ، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا

[Chunk 2]
المنظمات: السودان، جمهورية مصر العربية
الأماكن: اسراييل، البحرين الابيض والاحمر، الركن الشمالي الشرقي من قارة افريقيا، الشمال الشرقي، العربية، جمهورية، شبه جزيرة سيناء، فلسطين، قارة اسيا، ليبيا، وقطاع غزة
النص: مصر أو رسميا جمهورية مصر العربية هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا ، ولديها امتداد آسيوي ، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات ، قدر عدد سكانها ب 104 مليون نسمة ، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا ولجمهورية مصر العربية سواحل طويلة على البحرين الأبيض والأحمر ، وتشترك بحدود مع سبعة دول وكيانات فيحدها في الشمال الشرقي منطقة فلسطين ( إسرائيل وقطاع غزة ) بطول 265 كم ، ويحدها من الغرب ليبيا على امتداد خط بطول 1115 كم ، كما تشترك مع السودان بأطول حدود برية لها بطول 1280 كم

[Chunk 3]
الأماكن: الشرق الاوسط، غربي اسيا، وشبه جزيرة سيناء، ي افريقيا
النص: تقع في قلب الشرق الأوسط وتصل بين غربي آسيا وشمالي أفريقيا بوقوعها وشبه جزيرة سيناء عند نقطة التقاء القارتين",أين تقع مصر ؟,"تقع في الركن الشمالي الشرقي من قارة أفريقيا ،","تقع مصر في الركن الشمالي الشرقي من قارة أفريقيا، ولديها امتداد آسيوي حيث تقع شبه جزيرة سيناء داخل قارة آسيا.",0.92,0.91,0.91
"[Chunk 1]
المنظمات: السودان، جمهورية مصر العربية
الأماكن: اسراييل، البحرين الابيض والاحمر، الركن الشمالي الشرقي من قارة افريقيا، الشمال الشرقي، العربية، جمهورية، شبه جزيرة سيناء، فلسطين، قارة اسيا، ليبيا، وقطاع غزة
النص: مصر أو رسميا جمهورية مصر العربية هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا ، ولديها امتداد آسيوي ، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات ، قدر عدد سكانها ب 104 مليون نسمة ، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا ولجمهورية مصر العربية سواحل طويلة على البحرين الأبيض والأحمر ، وتشترك بحدود مع سبعة دول وكيانات فيحدها في الشمال الشرقي منطقة فلسطين ( إسرائيل وقطاع غزة ) بطول 265 كم ، ويحدها من الغرب ليبيا على امتداد خط بطول 1115 كم ، كما تشترك مع السودان بأطول حدود برية لها بطول 1280 كم

[Chunk 2]
المنظمات: الجمهورية التونسية
الأماكن: البحر الابيض المتوسط، الجزاير، الجنوب الشرقي ليبيا، تونس، شمال افريقيا
النص: تونس ، رسميا الجمهورية التونسية ، هي دولة تقع في شمال أفريقيا يحدها من الشمال والشرق البحر الأبيض المتوسط ومن الجنوب الشرقي ليبيا ( 459 كم ) ومن الغرب الجزائر ( 965 كم )

[Chunk 3]
المنظمات: الدولة العثمانية، كس بيكو
الأماكن: البحر المتوسط، البحر الميت، بحيرة طبريا، سان ريمو، سورية، فلسطين، لبنان، والاردن، يج العقبة
النص: عقب الحرب العالمية الأولى وتبعاتها من سقوط الدولة العثمانية التي كانت تسيطر على فلسطين ومعاهدة سيفر ومؤتمر سان ريمو واتفاقية سايكس بيكو ، رسمت حدود الإنتداب البريطاني على فلسطين ، فكانت الحدود تمتد بشكل طولي من الشمال إلى الجنوب على نحو أربع درجات عرض ، حيث تمتد بين دائرتي عرض 29 , 30 و 33 , 15 شمالا وبين خطي الطول 34 , 15 و 35 , 40 شرقا ، بمساحة 26 , 990 كم 2 ، بما في ذلك بحيرة طبريا ونصف البحر الميت يحدها من الغرب البحر المتوسط بساحل طوله 224 كم ، ومن الشرق سورية والأردن ، ومن الشمال لبنان ، ومن الجنوب مصر وخليج العقبة",ما طول الحدود الليبية ؟,"1115 كم ،",1115 كيلومتر.,0.76,0.92,0.93
"[Chunk 1]
الأماكن: الاسكندرية، الحض، القاهرة، وادي النيل والدلتا
النص: ويتركز أغلب سكان مصر في وادي النيل وفي الحضر ويشكل وادي النيل والدلتا أقل من 4 % من المساحة الكلية للبلاد أي حوالي 33000 كم 2 ، وأكبر الكتل السكانية هي القاهرة الكبرى التي بها تقريبا ربع السكان ، تليها الإسكندرية

[Chunk 2]
المنظمات: السودان، جمهورية مصر العربية
الأماكن: اسراييل، البحرين الابيض والاحمر، الركن الشمالي الشرقي من قارة افريقيا، الشمال الشرقي، العربية، جمهورية، شبه جزيرة سيناء، فلسطين، قارة اسيا، ليبيا، وقطاع غزة
النص: مصر أو رسميا جمهورية مصر العربية هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا ، ولديها امتداد آسيوي ، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات ، قدر عدد سكانها ب 104 مليون نسمة ، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا ولجمهورية مصر العربية سواحل طويلة على البحرين الأبيض والأحمر ، وتشترك بحدود مع سبعة دول وكيانات فيحدها في الشمال الشرقي منطقة فلسطين ( إسرائيل وقطاع غزة ) بطول 265 كم ، ويحدها من الغرب ليبيا على امتداد خط بطول 1115 كم ، كما تشترك مع السودان بأطول حدود برية لها بطول 1280 كم

[Chunk 3]
الأماكن: الركن الشمالي الشرقي من قارة افريقيا، جمهورية مصر العربية، شبه جزيرة سيناء، قارة اسيا
النص: مصر أو ( رسميا جمهورية مصر العربية ) هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا ، ولديها امتداد آسيوي ، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات ، قدر عدد سكانها ب 104 مليون نسمة ، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا",أين تتركز الغالبية العظمى من سكان مصر ؟,مصر في وادي النيل وفي الحضر,يتركز أغلب سكان مصر في وادي النيل وفي الحضر.,0.93,0.92,0.92
"[Chunk 1]
الأشخاص: عيسى بن مريم
المنظمات: اسراييل
النص: المسيح عيسى بن مريم ويعرف أيضا بيشوع بالعبرية و بيسوع في العهد الجديد ، هو رسول الله والمسيح في الإسلام ، ويعتبر من أولي العزم من الرسل ، أرسل ليقود بني إسرائيل إلى كتاب مقدس جديد وهو الإنجيل ، ويفضل المسلمون إضافة عبارة "" عليه السلام "" بعد اسمه ككل الأنبياء توقيرا لهم .

[Chunk 2]
الأشخاص: عيسى بن مريم، محمد
المنظمات: اسراييل
النص: المسيح عيسى بن مريم ويعرف أيضا بيشوع بالعبرية و بيسوع في العهد الجديد ، هو رسول الله والمسيح في الإسلام ، ويعتبر من أولي العزم من الرسل ، أرسل ليقود بني إسرائيل إلى كتاب مقدس جديد وهو الإنجيل ، ويفضل المسلمون إضافة عبارة "" عليه السلام "" بعد اسمه ككل الأنبياء توقيرا لهم الإيمان بعيسى ( وكل الأنبياء والرسل ) ركن من أركان الإيمان ، ولا يصح إسلام شخص بدونه ذكر عيسى باسمه في القرآن 25 مرة ، بينما ذكر محمد 4 مرات

[Chunk 3]
الأشخاص: ابو سفيان بن حرب، طلحة بن عبيد الله، محمد، وسعيد بن زيد
الأماكن: الحور، الشام، العش، المدينة
التواريخ: الاخرة، جمادى الاولى
النص: خرج رسول الإسلام محمد في شهري جمادى الأولى وجمادى الآخرة سنة 2 ه في مئة وخمسين أو مئتين من المهاجرين لاعتراض عير لقريش ذاهبة من مكة إلى الشام ، فلما وصل مكانا يسمى "" ذا العشيرة "" وجد العير قد فاتته بأيام فلما اقترب رجوع العير من الشام إلى مكة ، بعث الرسول محمد طلحة بن عبيد الله وسعيد بن زيد إلى الشمال ليقوما باكتشاف خبرها ، فوصلا إلى منطقة تسمى الحوراء ، ومكثا حتى مر بهما أبو سفيان بن حرب بالعير ، فأسرعا إلى المدينة وأخبرا الرسول محمدا بالخبر",من هو رسول الله ؟,أبو القاسم محمد بن عبد الله بن عبد المطلب,رَسُولَ اللَّهِ مُحَمَّدٌ.,0.8,0.91,0.92
