retrieved_context,question,reference,response,faithfullness,answer_relevance,answer_correctness
"[Chunk 1]
النص: الدرع المزرودة هي شكل من أشكال الدروع الواقية للبدن من العصور الوسطى . وهي عبارة عن لباس مصنوع عادة من قماش ثقيل أو خيش أو جلد ، ومبطن داخليا بألواح فولاذية مستطيلة صغيرة مثبتة على القماش ، وأحيانا بطبقة ثانية من القماش في الداخل .

[Chunk 2]
الأماكن: القطب الشمالي، المريخ
النص: . ويبلغ طول الذراع الآلية مترين اثنين و 35 سنتيمترا ، علما أنها صنعت من مادتي التيتانيوم والألومينيوم . وبعد اختبار سلامة لبعض ملحقات الذراع الآلية ، تمت الاستعانة بكاميرا ثبتت على هذه الذراع من أجل التأكد من الأرضية تحت المسبار . ثم حفرت الذراع القشرة الثلجية التي تقع في القطب الشمالي من المريخ ، لكي تنقل إلى المسبار عينات من التراب والثلج التي خضعت للدراسة

[Chunk 3]
النص: لا تكاد تقع تحت الحصر ، صنعها من قرون الحيوانات وجلودها وأصدافها وعاجها ، ومن النحاس والخيزران والخشب",ما هي المواد التي يمكن أن تكون مكونة للدرع المزروودة ؟,"قماش ثقيل أو خيش أو جلد ،","قُماش ثقيل أو خيش أو جلد، وألواح فولاذية مستطيلة صغيرة، والنحاس والخيزران والخشب.",0.92,0.91,0.92
"[Chunk 1]
النص: . ثم بدأت الحياة كنقط هلامية ميكروسكوبية في البحار العذبة الدافئة . وكانت تنتشر بالبلايين مع موجات البحر . واندمجت هذه النقاط الهلامية معا مكونة كائنات حية دقيقة مختلفة الأشكال كالرخويات . وهبط بعضها إلى القيعان مكونا نباتات . وكونت بعض الرخويات أصدافا ومحارات حول جسمها . استغرق هذا التطور الأولي لنشأة الحياة على الأرض نحو 3000 مليون سنة ، ومن هنا كانت البداية العظمي لنشوء الحياة فوق الأرض

[Chunk 2]
النص: . وتبين الأدلة العلمية أن هذا الكوكب تشكل قبل 4.6 مليار سنة . ويبدو أن الحياة على سطحه قد ظهرت في غضون مليارات السنوات . وعبر عصور التاريخ أثر المحيط الحيوي للأرض على الحياة في الأرض كما تأثرت الحياة علي الأرض بتغيرات المناخ والمحيط الحيوي

[Chunk 3]
النص: الأرض ( رمزها : ) هي ثالث كواكب المجموعة الشمسية بعدا عن الشمس بعد عطارد والزهرة ، وتعتبر من أكبر الكواكب الأرضية وخامس أكبر الكواكب في النظام الشمسي ، وذلك من حيث قطرها وكتلتها وكثافتها ، ويطلق على هذا الكوكب أيضا اسم "" العالم "". تعتبر الأرض مسكنا لملايين الأنواع من الكائنات الحية ، بما فيها الإنسان ؛ وهي المكان الوحيد المعروف بوجود حياة عليه في الكون . تكونت الأرض منذ حوالي 4.54 مليار سنة ، وقد ظهرت الحياة على سطحها في المليار سنة الأخيرة",كيف ظهرت الحياة على سطح الأرض ؟,ظهرت في غضون مليارات السنوات,"ظهرت الحياة على سطح الأرض كنقط هلامية ميكروسكوبية في البحار العذبة الدافئة، واستغرق هذا التطور الأولي لنشأة الحياة على الأرض نحو 3000 مليون سنة.",0.92,0.91,0.75
"[Chunk 1]
الأشخاص: شتاين
النص: ازدواجية موجة جسيم هي مفهوم في ميكانيكا الكم وفيه يمكن وصف كل جسيم أو كلية كمومية إما بجسيم أو بموجة . يظهر هذا المفهوم عن عجز المفاهيم الكلاسيكية الجسيم أو الموجة على الوصف الكامل لسلوك الأجسام في المقياس الكمومي . ومثلما كتب آينشتاين :« يبدو أنه علينا استخدام النظرية الواحدة أحيانا والنظرية الأخرى أحيانا أخرى وفي أحيان معينة نستخدم أي منهما . نواجه نوعا جديدا من الصعوبة ، لدينا صورتين متعارضتين للواقع ؛ إن كانتا منفصلتين لا تشرح أي منهما ظاهرة الضوء بشكل كامل ولكنهما معا يشرحانها بصورة مثالية »

[Chunk 2]
النص: . تاريخ . الفيزياء الكلاسيكية تميز بين الجسيمات والموجات ، في حين أن أساسيات ميكانيكا الكم تؤكد اندماج الصفات الجسيمية والخواص الموجية معا بتعبير أبسط فقد اكتشفت نظريات ميكانيكا الكم أن للموجات طبيعية جسيمية ، وأن للجسيمات طبيعة موجية وهو مايعرف بازدواجية الموجة والجسيم ، وبناءا على الطبيعة الموجية للجسيمات فقد تم وصف سلوك الجسيمات بدالة موجية وهي دالة رياضياتية مركبة تستخدم لحساب درجة احتمال وجود الجسيم في نقطة معينة في الفراغ

[Chunk 3]
الأشخاص: البرت اينشتاين، بول ديراك، ر كومبتون، ز بور، لويس دي بروي، ماكس بلانك، ين شرودنغر
النص: . من خلال أعمال ماكس بلانك ، إرفين شرودنغر ، ألبرت آينشتاين ، بول ديراك ، لويس دي بروي ، آرثر كومبتون ، نيلز بور وعلماء آخرين ، ترى النظرية العلمية الحالية أن الجسيمات تظهر طبيعة موجية والعكس صحيح . أكدت هذه النظرية ليس فقط للجسيمات البدائية بل أيضا للجسيمات المركبة مثل الذرات أو حتى الجزيئات . بالنسبة للجزيئات العيانية وبسبب طول الموجة القصير الذي تتمتع به ، لا يمكن التقاط الخاصية الموجية لها . على الرغم من أن ازدواجية موجة - جسيم كانت فعالة في الفيزياء ، لم يحل تفسيرها بشكل مرضي",ماذا يعني أن يمكن وصف الجسيمات بجسيم أو بموجة في سياق الازدواجية الموجة جسيم ؟,يظهر هذا المفهوم عن عجز المفاهيم الكلاسيكية الجسيم أو الموجة على الوصف الكامل لسلوك الأجسام في المقياس الكمومي .,"يعني أن يمكن وصف الجسيمات بجسيم أو بموجة في سياق الازدواجية الموجة الجسيم أن النظريات الكمومية تؤكد اندماج الصفات الجسيمية والخواص الموجية معا، مما يظهر الطبيعة الموجية للجسيمات والعكس صحيح.",0.9,0.93,0.91
"[Chunk 1]
المنظمات: المملكة، روسيا
الأماكن: اسيا، المملكة المتحدة
التواريخ: 2021، اغسطس 2021
النص: أزمة موردي الغاز الطبيعي في المملكة المتحدة 2021 ابتداء من أغسطس 2021 بدأت أسعار الغاز الطبيعي بالجملة الأوروبية المرتفعة في التأثير بشدة على المملكة المتحدة . بسبب مجموعة من الظروف غير المواتية والتي تضمنت ارتفاع الطلب على الغاز في آسيا ، وتناقص إمداداتها من روسيا إلى الأسواق الأوروبية وانخفاض المخزونات وسلسلة من الأعطال في مختلف المرافق الكهربائية ، واجهت المملكة المتحدة زيادات حادة في أسعار الغاز

[Chunk 2]
الأماكن: المملكة المتحدة
التواريخ: 14 اكتوبر 2021
النص: . أثرت الأزمة على المستهلكين وشركات المرافق والشركات التي تعتمد على استخدام ثاني أكسيد الكربون والأمونيا وقد تأثرت جميعها . تسببت الأزمة في توقف بعض الموردين المحليين الأصغر في المملكة المتحدة عن العمل ، مما أثر على ما يقرب من مليوني مستهلك اعتبارا من 14 أكتوبر 2021. الأسباب . كان السبب الرئيسي لارتفاع الأسعار هو ارتفاع أسعار الجملة للغاز الطبيعي في جميع أنحاء العالم

[Chunk 3]
المنظمات: بريطانيا
الأماكن: المملكة المتحدة، ريطانيا، فرنسا
التواريخ: 2020، صيف 2021
النص: . كانت الظروف الجوية أيضا غير مواتية لبريطانيا : أدى الشتاء البارد 2020 / 21 في المملكة المتحدة إلى استخدام المزيد من الغاز الطبيعي للتدفئة المركزية أكثر من المعتاد مما أدى إلى استنفاد المخزونات ، والتي تفاقمت بسبب متطلبات الغاز الإضافية للكهرباء توليد الكهرباء خلال صيف 2021 بسبب سلسلة من انقطاعات الطاقة النووية ، والإغلاق في أعقاب حريق في الربط البيني عبر القنوات الذي يجلب الكهرباء من فرنسا ، وكذلك إغلاق منشأة التخزين الخشنة ، مما جعل من المستحيل على بريطانيا الحفاظ عليها لفترة طويلة",ما هي أسباب أزمة موردي الغاز الطبيعي في المملكة المتحدة في عام 2021 ؟,بدأت أسعار الغاز الطبيعي بالجملة الأوروبية المرتفعة في التأثير بشدة على المملكة المتحدة .,"السبب الرئيسي لارتفاع الأسعار هو ارتفاع أسعار الجملة للغاز الطبيعي في جميع أنحاء العالم، بالإضافة إلى الظروف غير المواتية الأخرى مثل ارتفاع الطلب على الغاز في آسيا، وتناقص إمداداتها من روسيا إلى الأسواق الأوروبية وانخفاض المخزونات وسلسلة من الأعطال في مختلف المرافق الكهربائية.",0.9,0.91,0.91
"[Chunk 1]
الأشخاص: احمد بن محمد المدني مولدا، احمد توفيق المدني، احمد توفيق بن محمد بن احمد بن محمد المدني القبي
الأماكن: امع الكبير، بالج، بتونس
التواريخ: 1 نوفمبر 1899، 12 محرم 1404 ه /، 18 اكتوبر 1983 م، 24 جمادى الثانية 1317 ه /
النص: أحمد توفيق المدني هو أحمد توفيق بن محمد بن أحمد بن محمد المدني القبي الغرناطي الجزائري . عالم ، مؤرخ ، وزير جزائري . ولد بتونس يوم 24 جمادى الثانية 1317 ه / 1 نوفمبر 1899 م . توفي بالجزائر العاصمة يوم 12 محرم 1404 ه / 18 أكتوبر 1983 م . العائلة . جده هو أحمد بن محمد المدني مولدا ، القبي الغرناطي الشريف ، كان أمين الأمناء بالجزائر العاصمة . والده هو محمد بن أحمد ، ولد بالجزائر ، وتلقى علومه العربية بالجامع الكبير ، على يد عدد من كبار العلماء والمدرسين

[Chunk 2]
الأشخاص: احمد توفيق المدني، عبد الرحمن، عمر بويران
المنظمات: المدرسة الاهلية القرانية، بجامعة الزيتونة
الأماكن: الجامع الاعظم، القبايل، بتونس، تونس العاصمة
التواريخ: 190
النص: . وخلال إقامة العائلة بمنطقة القبائل تعارفت مع جده لأمه الصالح الشيخ عمر بويران ، الذي كان بدوره قاصدا مدينة تونس ، مهاجرا مع أخيه عبد الرحمن ، واشترك هو وأخوه في أعمال الثورة ، ثم انتقل الجميع بعد ذلك إلى تونس في قافلة واحدة . وانتهى بهم المطاف لاجئين بتونس . الدراسة . أدخل أحمد توفيق المدني أحد كتاتيب تونس العاصمة وهو لم يتجاوز الخامسة من العمر ، ثم انتقل سنة 1909 م إلى المدرسة الأهلية القرآنية ، ومنها إلى الجامع الأعظم للدراسة بجامعة الزيتونة سنة 1913 م

[Chunk 3]
الأشخاص: احمد، سليم، عايشة، عبد الله، هار خاتون
المنظمات: بالدولة العثمانية
التواريخ: 5 ه
النص: . والدته هي عائشة لبهار خاتون ، وكان مولده سنة 875 ه الموافقة لسنة 1470 م ، وهو أصغر أولاد السلطان بايزيد الثاني الذين كتبت لهم الحياة ، وبهذا لم يكن في بادئ أمره ولي عهد أبيه ، بل كان هذا اللقب من نصيب أخيه الأكبر عبد الله ، ثم أحمد بعد وفاة الأخير . آل الملك إلى هذا السلطان بعد اضطرابات عصفت بالدولة العثمانية أواخر عهد والده بايزيد نتيجة صراع أبناءه ، بما فيهم سليم ، على العرش . وكانت الغلبة في نهاية الأمر للأخير نتيجة دعم الإنكشارية له ، فتنحى والده وترك له تدبير شؤون البلاد والعباد",من هو والد أحمد توفيق المدني ؟,"هو محمد بن أحمد ، ولد بالجزائر ، وتلقى علومه العربية بالجامع الكبير",محمد بن أحمد.,0.92,0.91,0.91
"[Chunk 1]
النص: . تستخدم البطاريات الأولية ( التي تستخدم مرة واحدة أو « التي تستخدم لمرة واحدة ») مرة واحدة ويتم التخلص منها ، حيث يتم تغيير مواد القطب بشكل لا رجعة فيه أثناء التفريغ ؛ ومن الأمثلة الشائعة على ذلك البطارية القلوية المستخدمة في المصابيح الكهربائية وعدد كبير من الأجهزة الإلكترونية المحمولة . يمكن تفريغ البطاريات الثانوية ( القابلة لإعادة الشحن ) وإعادة شحنها عدة مرات باستخدام التيار الكهربائي المطبق ؛ يمكن استعادة التكوين الأصلي للأقطاب الكهربائية عن طريق التيار العكسي

[Chunk 2]
الأشخاص: اليسا، امين فرانكلين، و فولتا
المنظمات: الجيش
التواريخ: عام 1748، عام 1800
النص: . يعود استخدام مصطلح « البطارية » لوصف مجموعة من الأجهزة الكهربائية إلى بنجامين فرانكلين ، الذي وصف في عام 1748 عدة جرار ليدن على غرار بطارية المدفع ( استعار بنجامين فرانكلين مصطلح « البطارية » من الجيش ، والذي يشير إلى للأسلحة تعمل معا ). أول بطارية كهربائية في التاريخ . قام الفيزيائي الإيطالي أليساندرو فولتا ببناء ووصف أول بطارية كهروكيميائية ، الكومة الفولتية ، في عام 1800. كانت هذه كومة من ألواح النحاس والزنك ، مفصولة بأقراص ورقية مبللة بمحلول ملحي ، والتي يمكن أن تنتج تيارا ثابتا لفترة طويلة من الزمن

[Chunk 3]
الأشخاص: فري ديفي، هان فيلهيلم ريتر
التواريخ: 1807 / 1808، القرن الثامن عشر
النص: . فكانت البطارية هي أول مصدر - قبل اختراع توليد الكهرباء بواسطة مولد كهربائي للتيار الكهربائي ، ساعدت فيما بعد على اكتشافات عظيمة ، وكذلك اكتشاف وتحضير الصوديوم والبوتاسيوم والباريوم وسترونشيوم والكالسيوم والمغنسيوم وخلال السنوات 1807 / 1808 عن طريق العالم « همفري ديفي ». تمكن العالم الألماني « يوهان فيلهيلم ريتر » خلال القرن الثامن عشر من القيام ببحوث عن الجلفانية واخترع أول مركم",ما هي البطاريات الأولية ؟,تستخدم البطاريات الأولية ( التي تستخدم مرة واحدة أو « التي تستخدم لمرة واحدة ») مرة واحدة ويتم التخلص منها,"البطاريات الأولية هي تلك التي تستخدم مرة واحدة ويتم التخلص منها، حيث يتم تغيير مواد القطب بشكل لا رجعة فيه أثناء التفريغ.",0.91,0.91,0.92
"[Chunk 1]
الأشخاص: غ جو - هسوان، ك تشو، يفر وانج
المنظمات: حزب الكومينتانغ للانتخابات الرياسية، مدرسة تايبيه الاولى للبنات
الأماكن: تايوان
التواريخ: 2 اكتوبر 1961، عام 2008، عام 2012، عام 2015، لعام 2016
النص: وانغ جو - هسوان ( بالبينيين : "" Wáng Rúxuán ;"" من مواليد 2 أكتوبر 1961 ) ، والمعروفة أيضا باسم جينيفر وانج ، وهي محامية وسياسية تايوانية . شغلت منصب وزيرة مجلس شؤون العمل من عام 2008 إلى عام 2012. ختيرت في عام 2015 وانغ لمنصب نائب المرشح إريك تشو في انتخابات حزب الكومينتانغ للانتخابات الرئاسية في تايوان لعام 2016 ، والتي خسروها في النهاية . الحياة المبكرة . ولدت وانغ في 2 أكتوبر 1961 في مدينة تايبيه ونشأت في مقاطعة تشانجوا في تايوان . درست في مدرسة تايبيه الأولى للبنات في تايبيه

[Chunk 2]
الأشخاص: انغ زيمين، جين تاو، وشي جين بينغ
الأماكن: غهاي
النص: . يعتقد بأن وانغ كان أحد المهندسين الرئيسيين وراء الإيديولوجيات السياسية الرسمية لثلاثة قادة دائمين للصين وهي سياسة « التمثيلات الثلاثة » الموضوعة من قبل الرئيس الصيني السابق جيانغ زيمين ، ومفهوم التنمية العلمية من قبل الرئيس الصيني السابق هو جين تاو ، والحلم الصيني وأفكار وشي جين بينغ من قبل الرئيس الصيني الحالي شي جين بينغ . النشأة . ولد وانج في شنغهاي ، ويرجع أصله إلى مقاطعة يي في مقاطعة شاندونغ . اسم وانغ ، « هونينج » ، يعني حرفيا « شنغهاي ونانجينغ »

[Chunk 3]
الأشخاص: غ داهنغ
المنظمات: اديمية الصينية للهندسة، الاكاديمية الصينية للعلوم، معهد تشانغتشون للبصريات والميكانيكا الدقيقة، والاك، والجمع، وجامعة تشانغتشون للعلوم والتكنولوجيا، ية البصرية الصينية
الأماكن: الصين، اليابان، طوكيو
التواريخ: 21 يوليو 2011، 26 فبراير 1915
النص: وانغ داهنغ ( في اللغة الصينية : ؛ مواليد 26 فبراير 1915 - 21 يوليو 2011 ) عالم فيزياء بصرية ومهندس ومخترع صيني يعتبر على نطاق واسع « أب الهندسة البصرية » في الصين . كان أكاديميا مؤسسا لكل من الأكاديمية الصينية للعلوم والأكاديمية الصينية للهندسة . إضافة ، كان مؤسس معهد تشانغتشون للبصريات والميكانيكا الدقيقة ، وجامعة تشانغتشون للعلوم والتكنولوجيا ، والجمعية البصرية الصينية . الحياة المبكرة والتعليم . ولد وانغ في 26 فبراير 1915 في طوكيو ، اليابان ، وكان موطن أجداده في سوتشو ، الصين",أين ولدت ونشأت وانغ ؟,1961 في مدينة تايبيه ونشأت في مقاطعة تشانجوا في تايوان .,"ولدت وانغ جو - هسوان في مدينة تايبيه، ونشأت في مقاطعة تشانجوا في تايوان.",0.91,0.91,0.92
"[Chunk 1]
الأشخاص: نا كزكز وانس خلف
المنظمات: موسسة الدوحة للافلام، نظام الاسد
الأماكن: استراليا
التواريخ: 2018، عام 2011، عام 2017
النص: المترجم فيلم روائي طويل من إخراج رنا كزكز وأنس خلف . تم إنتاج الفيلم بدعم من المنح التمويلية من مؤسسة الدوحة للأفلام ، وحاز على العديد من الجوائز بما في ذلك مهرجان كان السينمائي L'Atelier de la Cinefondation في عام 2017 ، وجائزة CNC في اجتماعات مهرجان إسطنبول السينمائي على الجسر في عام 2017 ، وTribeca منحة الخريجين في 2018. Logline. يعود سوري منفي يعيش في أستراليا بعد أن اعتقل نظام الأسد شقيقه عام 2011.

[Chunk 2]
المنظمات: موسسة الدوحة للافلام
التواريخ: عام 2021
النص: . وشارك الفيلم في العديد من المهرجانات السينمائية الدولية وفاز بالعديد من الجوائز . في عام 2021 تلقى تمويلا من مؤسسة الدوحة للأفلام لإنتاج مسلسل تلفزيوني بعنوان "" دار الملكة "" ، وفي العام ذاته بدأ تصوير فيلمه الطويل الجديد بعنوان "" المحطة "".

[Chunk 3]
المنظمات: موسسة تطوير الافلام الوطنية
الأماكن: الهند
التواريخ: 11 مايو 1988، 6 اكتوبر 1988، عام 1988
النص: . بدأ الإنتاج في أوائل عام 1988 ، وشارك في تمويل الفيلم مؤسسة تطوير الأفلام الوطنية في الهند . حقق الفيلم بعد إصداره في جميع أنحاء العالم في 6 أكتوبر 1988 ، ما يقدر بنحو 7.4 مليون دولار في شباك التذاكر في الخارج ، مقابل ميزانية إنتاج قدرها 450.000 دولار . ترشح الفيلم لجائزة الأوسكار لأفضل فيلم روائي دولي في حفل توزيع جوائز الأوسكار الحادي والستين ، بعد إصداره الأولي في 11 مايو 1988 في مهرجان كان السينمائي ، حيث نال اشادة كبيرة من النقاد ، كما فاز بجائزة الكاميرا الذهبية والجمهور",ما هي مؤسسة الدوحة للأفلام وما دورها في إنتاج الفيلم ؟,تم إنتاج الفيلم بدعم من المنح التمويلية من مؤسسة الدوحة للأفلام,"مؤسسة الدوحة للافلام هي المنظمة التي قامت بدعم إنتاج المترجم فيلم روائي طويل من إخراج رنا كزكز وأنس خلف، كما أنها قامت بتوفير تمويلا له في عام 2017 و2021.",0.9,0.92,0.93
"[Chunk 1]
النص: . بلغ عدد الأسر 165 أسرة كانت نسبة 31.5 % منها لديها أطفال تحت سن الثامنة عشر تعيش معهم ، وبلغت نسبة الأزواج القاطنين مع بعضهم البعض 51.5 % من أصل المجموع الكلي

[Chunk 2]
النص: . بلغ عدد الأسر 73 أسرة كانت نسبة 35.6 % منها لديها أطفال تحت سن الثامنة عشر تعيش معهم ، وبلغت نسبة الأزواج القاطنين مع بعضهم البعض 64.4 % من أصل المجموع الكلي للأسر ، ونسبة 8.2 % من الأسر كان لديها معيلات من الإناث دون وجود شريك ، بينما كانت نسبة 4.1 % من الأسر لديها معيلون من الذكور دون وجود شريكة وكانت نسبة 23.3 % من غير العائلات .

[Chunk 3]
النص: . بلغ عدد الأسر 156 أسرة كانت نسبة 29.5 % منها لديها أطفال تحت سن الثامنة عشر تعيش معهم ، وبلغت نسبة الأزواج القاطنين مع بعضهم البعض 40.4 % من أصل المجموع الكلي للأسر ، ونسبة 15.4 % من الأسر كان لديها معيلات من الإناث دون وجود شريك ، بينما كانت نسبة 2.6 % من الأسر لديها معيلون من الذكور",ما هي نسبة الأسر التي لديها أطفال تحت سن الثامنة عشر في بلدة سانتي ؟,32.90%,النسبة التي لديها أطفال تحت سن الثامنة عشر في بلدة سانتي هي 31.5 % (من Chunk 1) و 35.6 % (من Chunk 2) و 29.5 % (من Chunk 3).,0.9,0.91,0.77
"[Chunk 1]
المنظمات: موسوعة روتليدج للفلسفة
النص: . فهم يتقبلون تصورات متعددة حول الأخلاقية ، حتى لو كان هو أو هي على خلاف مع ذلك بشكل شخصي . وتركز كتابات ما بعد الحداثة على تفكيك الدور الذي تلعبه القوة والأيديولوجيا في تشكيل الخطاب والاعتقاد . وتشارك فلسفة ما بعد الحداثة التشابهات الأنطولوجية مع المذهب الشكي الكلاسيكي ومع مذهب الاعتقاد النسبوي . تصرح موسوعة روتليدج للفلسفة بأن الافتراض القائل بعدم وجود قاسم مشترك في الطبيعة أو الحقيقة ، والذي يضمن إمكانية حياد الفكر أو موضوعيته ، هو افتراض رئيسي لما بعد الحداثة

[Chunk 2]
التواريخ: النصف الثاني من القرن العشرين
النص: ما بعد الحداثة هي حركة فكرية واسعة نشأت في النصف الثاني من القرن العشرين كرد فعل على ادعاءات المعرفة القديمة المنتهية والمرتبطة بحداثة عصر النهضة ولإنهاء الافتراضات المزعوم وجودها في الأفكار الفلسفية الحداثية المتعلقة بالافكار والثقافة والهوية والتاريخ وتحطيم السرديات الكبرى وأحادية الوجود واليقين المعرفي وتبحث في أهمية علاقات القوة ، والشخصنة أو إضفاء الطابع الشخصي ، والخطاب داخل بنية الحقيقة والرؤى الشمولية وينطلق العديد من مفكري ما بعد الحداثة من إنكار وجود واقع موضوعي ومن إنكار وجود قيم أخلاقية موضوعية

[Chunk 3]
النص: . ويعتقد مثل هذا المفكر ما بعد الحداثي ، أنه لا وجود لما يسمى بالواقع الموضوعي الطبيعي ، وأن العقل والمنطق ما هما إلا أبنية تصورية غير صالحة عالميا أو بشكل شامل . ويعد إنكار وجود طبيعة بشرية والتشكك ( المعتدل في بعض الأحيان ) حول المزاعم التي ترى قدرة العلم والتكنولوجيا على إحداث تغير للمجتمع نحو الأحسن ، من الملامح الأخرى المميزة لممارسات ما بعد الحداثة . ويعتقد مفكرو ما بعد الحداثة أيضا في عدم وجود قيم أخلاقية موضوعية",ما هو الافتراض الرئيسي لما بعد الحداثة بشأن عدم وجود قاسم مشترك في الطبيعة أو الحقيقة ؟,الذي يضمن إمكانية حياد الفكر أو موضوعيته,الافتراض الرئيسي لما بعد الحداثة بشأن عدم وجود قاسم مشترك في الطبيعة أو الحقيقة هو أن الافتراض القائل بعدم وجود قاسم مشترك في الطبيعة أو الحقيقة هو افتراض رئيسي لما بعد الحداثة.,0.9,0.92,0.91
