retrieved_context,question,reference,response,faithfullness,answer_relevance,answer_correctness
"[Chunk 1]
جمال أحمد حمزة خاشقجي ( 13 أكتوبر 1958 ، المدينة المنورة - 2 أكتوبر 2018 ) ، صحفي وإعلامي سعودي ، رأس عدة مناصب لعدد من الصحف في السعودية ، وتقلد منصب مستشار ، كما أنه مدير عام قناة العرب الإخبارية سابقا . ويكتب عمودا في صحيفة واشنطن بوست منذ 2017 ، وصف في الصحف وأجهزة الاعلام العالمية بأنه "" وفي للدولة السعودية "" و "" منتقد لسياساتها "".

[Chunk 2]
جمال أحمد حمزة خاشقجي ( 13 أكتوبر 1958 ، المدينة المنورة - 2 أكتوبر 2018 ) ، صحفي وإعلامي سعودي ، رأس عدة مناصب لعدد من الصحف في السعودية ، وتقلد منصب مستشار ، كما أنه مدير عام قناة العرب الإخبارية سابقا .

[Chunk 3]
حمزة بن عبد المطلب الهاشمي القرشي صحابي من صحابة رسول الإسلام محمد ، وعمه وأخوه من الرضاعة وأحد وزرائه الأربعة عشر ، وهو خير أعمامه لقوله : « خير إخوتي علي ، وخير أعمامي حمزة رضي الله عنهما ».",من هو جمال أحمد حمزة خاشقجي ؟,صحفي وإعلامي,"صحفي وإعلامي سعودي، كان يكتب عموداً في صحيفة واشنطن بوست منذ 2017.",0.67,0.92,0.92
"[Chunk 1]
جمال أحمد حمزة خاشقجي ( 13 أكتوبر 1958 ، المدينة المنورة - 2 أكتوبر 2018 ) ، صحفي وإعلامي سعودي ، رأس عدة مناصب لعدد من الصحف في السعودية ، وتقلد منصب مستشار ، كما أنه مدير عام قناة العرب الإخبارية سابقا . ويكتب عمودا في صحيفة واشنطن بوست منذ 2017 ، وصف في الصحف وأجهزة الاعلام العالمية بأنه "" وفي للدولة السعودية "" و "" منتقد لسياساتها "".

[Chunk 2]
دونالد جون ترامب ( بالإنجليزية : Donald John Trump ) ( ولد في 14 يونيو 1946 ) هو الرئيس الخامس والأربعون للولايات المتحدة الأمريكية والحالي منذ 20 يناير 2017 ، وهو أيضا رجل أعمال وملياردير أمريكي ، وشخصية تلفزيونية ومؤلف أمريكي ورئيس منظمة ترامب ، والتي يقع مقرها في الولايات المتحدة . أسس ترامب وأدار عدة مشاريع وشركات ومنتجعات ترفيهية ، التي تدير العديد من الكازينوهات ، الفنادق ، ملاعب الغولف ، والمنشآت الأخرى في جميع أنحاء العالم ، ساعد نمط حياته ونشر علامته التجارية وطريقته الصريحة بالتعامل مع السياسة في الحديث ؛ على جعله من المشاهير في كل من الولايات المتحدة والعالم ، وقدم البرنامج الواقعي "" ذا أبرينتايس "" على قناة إن بي سي .

[Chunk 3]
غادر خاشقجي السعودية في سبتمبر 2017 ، وكتب بعد ذلك مقالات صحفية انتقد فيها الحكومة السعودية . انتقد خاشقجي بصورة كبيرة ولي العهد السعودي محمد بن سلمان ، والملك سلمان بن عبد العزيز . وكذلك عارض التدخل العسكري في اليمن .",في أي صحيفة قام بكتابة عمود منذ عام 2017 ؟,واشنطن بوست,صحيفة واشنطن بوست.,0.91,0.92,0.91
"[Chunk 1]
غادر خاشقجي السعودية في سبتمبر 2017 ، وكتب بعد ذلك مقالات صحفية انتقد فيها الحكومة السعودية . انتقد خاشقجي بصورة كبيرة ولي العهد السعودي محمد بن سلمان ، والملك سلمان بن عبد العزيز . وكذلك عارض التدخل العسكري في اليمن .

[Chunk 2]
جمال أحمد حمزة خاشقجي ( 13 أكتوبر 1958 ، المدينة المنورة - 2 أكتوبر 2018 ) ، صحفي وإعلامي سعودي ، رأس عدة مناصب لعدد من الصحف في السعودية ، وتقلد منصب مستشار ، كما أنه مدير عام قناة العرب الإخبارية سابقا . ويكتب عمودا في صحيفة واشنطن بوست منذ 2017 ، وصف في الصحف وأجهزة الاعلام العالمية بأنه "" وفي للدولة السعودية "" و "" منتقد لسياساتها "".

[Chunk 3]
جمال أحمد حمزة خاشقجي ( 13 أكتوبر 1958 ، المدينة المنورة - 2 أكتوبر 2018 ) ، صحفي وإعلامي سعودي ، رأس عدة مناصب لعدد من الصحف في السعودية ، وتقلد منصب مستشار ، كما أنه مدير عام قناة العرب الإخبارية سابقا .",متى غادر خاشقجي السعودية ؟,"في سبتمبر 2017 ،",غادر خاشقجي السعودية في سبتمبر 2017.,0.91,0.92,0.92
"[Chunk 1]
السعودية أو ( رسميا : المملكة العربية السعودية ) هي دولة عربية ، وتعد أكبر دولة في الشرق الأوسط وتقع تحديدا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع .

[Chunk 2]
السعودية ورسميا المملكة العربية السعودية هي أكبر دولة في الشرق الأوسط وتقع تحديدا في الجنوب الغربي من قارة آسيا وتشكل الجزء الأكبر من شبه الجزيرة العربية إذ تبلغ مساحتها حوالي مليوني كيلومتر مربع . يحدها من الشمال العراق والأردن وتحدها الكويت من الشمال الشرقي ، ومن الشرق تحدها كل من قطر والإمارات العربية المتحدة بالإضافة إلى البحرين التي ترتبط بالسعودية من خلال جسر الملك فهد الواقع على الخليج العربي ، ومن الجنوب تحدها اليمن ، وعمان من الجنوب الشرقي ، كما يحدها البحر الأحمر من جهة الغرب .

[Chunk 3]
الجمهورية الإسلامية الإيرانية ( بالفارسية : جمهورى اسلامى ايران ) هي دولة تقع في غرب آسيا . وهي ثاني أكبر دول بالشرق الأوسط من حيث عدد السكان بعد مصر باجمالي 81 مليون نسمة وكذلك ثاني أكبر بلدان الشرق الاوسط مساحة بعد السعودية بمساحة تبلغ 1 ، 648 ، 195 كم 2 ما يجعلها تحتل المرتبة الثامنة عشر بين بلدان في العالم من حيث المساحة تتميز ايران بموقع جيوسياسي يجعلها نقطة التقاء لثلاث مجالات آسيوية ( غرب آسيا ووسطها وجنوبها ).",أي دولة هي أكبر دولة في الشرق الأوسط ؟,المملكة العربية السعودية ),السعودية,0.92,0.92,0.9
"[Chunk 1]
إنجلترا أو إنكلترا ( بالإنجليزية : England إنلاند ) هي أكبر دولة في المملكة المتحدة وتشترك في الحدود البرية مع اسكتلندا في الشمال وويلز في الغرب والبحر الأيرلندي في الشمال الغربي وبحر الكلت في الجنوب الغربي وبحر الشمال في الشرق ، وتفصلها القناة الإنجليزية عن القارة الأوروبية جنوبا .

[Chunk 2]
فلسطين ( بالعبرية : أو حسب السياق ، باليونانية : ) هي منطقة جغرافية في غرب آسيا عادة ما تشمل إسرائيل ، والضفة الغربية ، وقطاع غزة ، وفي بعض التعاريف ، بعض أجزاء من غرب الأردن مشكلة الجزء الجنوبي الغربي من بلاد الشام . عقب الحرب العالمية الأولى وتبعاتها من سقوط الدولة العثمانية التي كانت تسيطر على فلسطين ومعاهدة سيفر ومؤتمر سان ريمو واتفاقية سايكس بيكو ، رسمت حدود الإنتداب البريطاني على فلسطين ، فكانت الحدود تمتد بشكل طولي من الشمال إلى الجنوب على نحو أربع درجات عرض ، حيث تمتد بين دائرتي عرض 29 , 30 و 33 , 15 شمالا وبين خطي الطول 34 , 15 و 35 , 40 شرقا ، بمساحة 26 , 990 كم 2 ، بما في ذلك بحيرة طبريا ونصف البحر الميت . يحدها من الغرب البحر المتوسط بساحل طوله 224 كم ، ومن الشرق سورية والأردن ، ومن الشمال لبنان ، ومن الجنوب مصر وخليج العقبة . وفلسطين مستطيلة الشكل طولها من الشمال إلى الجنوب 430 كم ، أما عرضها ففي الشمال يراوح بين 51 - 70 كم ، وفي الوسط 72 - 95 كم عند القدس ، أما في الجنوب فإن العرض يتسع ليصل إلى 117 كم عند رفح وخان يونس حتى البحر الميت . وتمتلك المنطقة أرضا متنوعة جدا ، وتقسم جغرافيا إلى أربع مناطق ، وهي من الغرب إلى الشرق السهل الساحلي ، والتلال ، والجبال ( جبال الجليل وجبال نابلس وجبال القدس وجبال الخليل ) والأغوار ( غور الأردن ). في أقصى الجنوب هناك صحراء النقب . بين جبال نابلس وجبال الجليل يقع مرج بن عامر ويقطع جبل الكرمل ، الذي يمتد من جبال نابلس شمالا غربا ، السهل الساحلي . تتراوح الارتفاعات من 417 مترا تحت مستوى البحر في البحر الميت ( وهي أخفض نقطة على سطح اليابسة في العالم ) إلى 1204 مترا فوق مستوى البحر في قمة جبل الجرمق ( جبل ميرون كما يسمى في إسرائيل ).

[Chunk 3]
عقب الحرب العالمية الأولى وتبعاتها من سقوط الدولة العثمانية التي كانت تسيطر على فلسطين ومعاهدة سيفر ومؤتمر سان ريمو واتفاقية سايكس بيكو ، رسمت حدود الإنتداب البريطاني على فلسطين ، فكانت الحدود تمتد بشكل طولي من الشمال إلى الجنوب على نحو أربع درجات عرض ، حيث تمتد بين دائرتي عرض 29 , 30 و 33 , 15 شمالا وبين خطي الطول 34 , 15 و 35 , 40 شرقا ، بمساحة 26 , 990 كم 2 ، بما في ذلك بحيرة طبريا ونصف البحر الميت . يحدها من الغرب البحر المتوسط بساحل طوله 224 كم ، ومن الشرق سورية والأردن ، ومن الشمال لبنان ، ومن الجنوب مصر وخليج العقبة . وفلسطين مستطيلة الشكل طولها من الشمال إلى الجنوب 430 كم ، أما عرضها ففي الشمال يراوح بين 51 - 70 كم ، وفي الوسط 72 - 95 كم عند القدس ، أما في الجنوب فإن العرض يتسع ليصل إلى 117 كم عند رفح وخان يونس حتى البحر الميت . وتمتلك المنطقة أرضا متنوعة جدا ، وتقسم جغرافيا إلى أربع مناطق ، وهي من الغرب إلى الشرق السهل الساحلي ، والتلال ، والجبال ( جبال الجليل وجبال نابلس وجبال القدس وجبال الخليل ) والأغوار ( غور الأردن ). في أقصى الجنوب هناك صحراء النقب . بين جبال نابلس وجبال الجليل يقع مرج بن عامر ويقطع جبل الكرمل ، الذي يمتد من جبال نابلس شمالا غربا ، السهل الساحلي . تتراوح الارتفاعات من 417 مترا تحت مستوى البحر في البحر الميت ( وهي أخفض نقطة على سطح اليابسة في العالم ) إلى 1204 مترا فوق مستوى البحر في قمة جبل الجرمق ( جبل ميرون كما يسمى في إسرائيل ).",ما هي الحدود في الشمال ؟,يحدها من الشمال العراق والأردن,"between دائرتي عرض 29 , 30 شمالاً",0.6,0.3,0.2
"[Chunk 1]
حكم آل سعود تاريخيا في نجد ومناطق واسعة من الجزيرة العربية أكثر من مرة ، وتعتبر المملكة السعودية الحالية نتاجا ووارثة لتلك الكيانات التاريخية ، أول تلك الكيانات إمارة الدرعية التي أسسها محمد بن سعود سنة 1157 ه / 1744 وظلت حتى قاد إبراهيم باشا جيش والي مصر العثماني في حملة للقضاء عليها عام 1233 ه / 1818 م ، ويشار إلى تلك المرحلة باسم "" الدولة السعودية الأولى "" ، ولكن لم يطل الوقت بعد سقوط الدولة الأولى حتى أقام تركي بن عبد الله بن محمد إمارة جديدة لآل سعود في نجد ، اتخذت من الرياض عاصمة واستمرت حتى انتزع حكام إمارة حائل إمارة الرياض من آل سعود سنة 1308 ه / 1891 ، ويشار إلى تلك المرحلة ب "" الدولة السعودية الثانية "". لاحقا استرد عبد العزيز آل سعود الشاب سنة 1319 ه / 1902 إمارة الرياض من يد آل رشيد ، وتوسع مسيطرا على كامل نجد 1921 وتسمت بسلطنة نجد حتى نجح عبد العزيز بانتزاع مملكة الحجاز من يد الهاشميين ، فنصب ملكا على الحجاز في يناير من عام 1926 ، وبعدها بعام غير لقبه من سلطان نجد إلى ملك نجد ، وسميت المناطق التي يسيطر عليها مملكة الحجاز ونجد وملحقاتها ، وظلت بذلك الاسم حتى وحد عبد العزيز جميع المناطق التي يسيطر عليها في كيان واحد ، وكان ذلك في 1351 ه / 23 سبتمبر 1932 وأعلن اسمها "" المملكة العربية السعودية "".

[Chunk 2]
نادي الهلال السعودي هو ناد رياضي ، ثقافي ، اجتماعي سعودي أسس عام 1957 ، مقره في العاصمة السعودية الرياض ويعتبر الفريق الأول في السعودية من حيث عدد البطولات المحلية ، وأكثر الأندية الآسيوية فوزا بالبطولات القارية بمختلف مسمياتها ، إذ تبلغ عدد بطولاته الرسمية على المستوى المحلي والإقليمي والقاري 61 بطولة ، والاجمالية سواء كانت رسمية أو ودية 97 بطولة .

[Chunk 3]
نادي الهلال السعودي هو ناد رياضي ، ثقافي ، اجتماعي سعودي أسس عام 1957 ، مقره في العاصمة السعودية الرياض ويعتبر الفريق الأول في السعودية من حيث عدد البطولات المحلية ، وأكثر الأندية الآسيوية فوزا بالبطولات القارية بمختلف مسمياتها ، إذ تبلغ عدد بطولاته الرسمية على المستوى المحلي والإقليمي والقاري 61 بطولة ، والاجمالية سواء كانت رسمية أو ودية 97 بطولة . ويحتل الفريق الأول لكرة القدم نادي الهلال السعودي المرتبة التاسعة والسبعين عالميا في قائمة أفضل 100 فريق كرة قدم في العالم خلال فترة القرن العشرين من حيث تحقيق البطولات المحلية والقارية من قبل الاتحاد الدولي لتاريخ وإحصاءات كرة القدم .",ما هي الكيانات الأولى في المملكة العربية السعودية ؟,أول تلك الكيانات إمارة الدرعية,الدولة السعودية الأولى وstate السعودية الثانية.,0.34,0.3,0.23
"[Chunk 1]
مصر أو ( رسميا : جمهورية مصر العربية ) هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا ، ولديها امتداد آسيوي ، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات ، قدر عدد سكانها ب 104 مليون نسمة ، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا .

[Chunk 2]
مصر أو رسميا جمهورية مصر العربية هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا ، ولديها امتداد آسيوي ، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات ، قدر عدد سكانها ب 104 مليون نسمة ، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا . ولجمهورية مصر العربية سواحل طويلة على البحرين الأبيض والأحمر ، وتشترك بحدود مع سبعة دول وكيانات فيحدها في الشمال الشرقي منطقة فلسطين ( إسرائيل وقطاع غزة ) بطول 265 كم ، ويحدها من الغرب ليبيا على امتداد خط بطول 1115 كم ، كما تشترك مع السودان بأطول حدود برية لها بطول 1280 كم . بالإضافة إلى حدودها البحرية مع السعودية شرقا وقبرص واليونان شمالا . تبلغ مساحة جمهورية مصر العربية حوالي 1.002.000 كيلومتر مربع والمساحة المأهولة تبلغ 78990 كم 2 بنسبة 7.8 % من المساحة الكلية . وتقسم مصر إداريا إلى 27 محافظة ، وتنقسم كل محافظة إلى تقسيمات إدارية أصغر وهي المراكز أو الأقسام .

[Chunk 3]
ويتركز أغلب سكان مصر في وادي النيل وفي الحضر ويشكل وادي النيل والدلتا أقل من 4 % من المساحة الكلية للبلاد أي حوالي 33000 كم 2 ، وأكبر الكتل السكانية هي القاهرة الكبرى التي بها تقريبا ربع السكان ، تليها الإسكندرية ؛ كما يعيش أغلب السكان الباقين في الدلتا وعلى ساحلي البحر المتوسط والبحر الأحمر ومدن قناة السويس ، وتشغل هذه الأماكن ما مساحته 40 ألف كيلومتر مربع . بينما تشكل الصحراء غير المعمورة غالبية مساحة البلاد .",أين تقع مصر ؟,"تقع في الركن الشمالي الشرقي من قارة أفريقيا ،",في الركن الشمالي الشرقي من قارة أفريقيا.,0.92,0.92,0.92
"[Chunk 1]
مصر أو رسميا جمهورية مصر العربية هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا ، ولديها امتداد آسيوي ، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات ، قدر عدد سكانها ب 104 مليون نسمة ، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا . ولجمهورية مصر العربية سواحل طويلة على البحرين الأبيض والأحمر ، وتشترك بحدود مع سبعة دول وكيانات فيحدها في الشمال الشرقي منطقة فلسطين ( إسرائيل وقطاع غزة ) بطول 265 كم ، ويحدها من الغرب ليبيا على امتداد خط بطول 1115 كم ، كما تشترك مع السودان بأطول حدود برية لها بطول 1280 كم . بالإضافة إلى حدودها البحرية مع السعودية شرقا وقبرص واليونان شمالا . تبلغ مساحة جمهورية مصر العربية حوالي 1.002.000 كيلومتر مربع والمساحة المأهولة تبلغ 78990 كم 2 بنسبة 7.8 % من المساحة الكلية . وتقسم مصر إداريا إلى 27 محافظة ، وتنقسم كل محافظة إلى تقسيمات إدارية أصغر وهي المراكز أو الأقسام .

[Chunk 2]
عقب الحرب العالمية الأولى وتبعاتها من سقوط الدولة العثمانية التي كانت تسيطر على فلسطين ومعاهدة سيفر ومؤتمر سان ريمو واتفاقية سايكس بيكو ، رسمت حدود الإنتداب البريطاني على فلسطين ، فكانت الحدود تمتد بشكل طولي من الشمال إلى الجنوب على نحو أربع درجات عرض ، حيث تمتد بين دائرتي عرض 29 , 30 و 33 , 15 شمالا وبين خطي الطول 34 , 15 و 35 , 40 شرقا ، بمساحة 26 , 990 كم 2 ، بما في ذلك بحيرة طبريا ونصف البحر الميت . يحدها من الغرب البحر المتوسط بساحل طوله 224 كم ، ومن الشرق سورية والأردن ، ومن الشمال لبنان ، ومن الجنوب مصر وخليج العقبة . وفلسطين مستطيلة الشكل طولها من الشمال إلى الجنوب 430 كم ، أما عرضها ففي الشمال يراوح بين 51 - 70 كم ، وفي الوسط 72 - 95 كم عند القدس ، أما في الجنوب فإن العرض يتسع ليصل إلى 117 كم عند رفح وخان يونس حتى البحر الميت . وتمتلك المنطقة أرضا متنوعة جدا ، وتقسم جغرافيا إلى أربع مناطق ، وهي من الغرب إلى الشرق السهل الساحلي ، والتلال ، والجبال ( جبال الجليل وجبال نابلس وجبال القدس وجبال الخليل ) والأغوار ( غور الأردن ). في أقصى الجنوب هناك صحراء النقب . بين جبال نابلس وجبال الجليل يقع مرج بن عامر ويقطع جبل الكرمل ، الذي يمتد من جبال نابلس شمالا غربا ، السهل الساحلي . تتراوح الارتفاعات من 417 مترا تحت مستوى البحر في البحر الميت ( وهي أخفض نقطة على سطح اليابسة في العالم ) إلى 1204 مترا فوق مستوى البحر في قمة جبل الجرمق ( جبل ميرون كما يسمى في إسرائيل ).

[Chunk 3]
فلسطين ( بالعبرية : أو حسب السياق ، باليونانية : ) هي منطقة جغرافية في غرب آسيا عادة ما تشمل إسرائيل ، والضفة الغربية ، وقطاع غزة ، وفي بعض التعاريف ، بعض أجزاء من غرب الأردن مشكلة الجزء الجنوبي الغربي من بلاد الشام . عقب الحرب العالمية الأولى وتبعاتها من سقوط الدولة العثمانية التي كانت تسيطر على فلسطين ومعاهدة سيفر ومؤتمر سان ريمو واتفاقية سايكس بيكو ، رسمت حدود الإنتداب البريطاني على فلسطين ، فكانت الحدود تمتد بشكل طولي من الشمال إلى الجنوب على نحو أربع درجات عرض ، حيث تمتد بين دائرتي عرض 29 , 30 و 33 , 15 شمالا وبين خطي الطول 34 , 15 و 35 , 40 شرقا ، بمساحة 26 , 990 كم 2 ، بما في ذلك بحيرة طبريا ونصف البحر الميت . يحدها من الغرب البحر المتوسط بساحل طوله 224 كم ، ومن الشرق سورية والأردن ، ومن الشمال لبنان ، ومن الجنوب مصر وخليج العقبة . وفلسطين مستطيلة الشكل طولها من الشمال إلى الجنوب 430 كم ، أما عرضها ففي الشمال يراوح بين 51 - 70 كم ، وفي الوسط 72 - 95 كم عند القدس ، أما في الجنوب فإن العرض يتسع ليصل إلى 117 كم عند رفح وخان يونس حتى البحر الميت . وتمتلك المنطقة أرضا متنوعة جدا ، وتقسم جغرافيا إلى أربع مناطق ، وهي من الغرب إلى الشرق السهل الساحلي ، والتلال ، والجبال ( جبال الجليل وجبال نابلس وجبال القدس وجبال الخليل ) والأغوار ( غور الأردن ). في أقصى الجنوب هناك صحراء النقب . بين جبال نابلس وجبال الجليل يقع مرج بن عامر ويقطع جبل الكرمل ، الذي يمتد من جبال نابلس شمالا غربا ، السهل الساحلي . تتراوح الارتفاعات من 417 مترا تحت مستوى البحر في البحر الميت ( وهي أخفض نقطة على سطح اليابسة في العالم ) إلى 1204 مترا فوق مستوى البحر في قمة جبل الجرمق ( جبل ميرون كما يسمى في إسرائيل ).",ما طول الحدود الليبية ؟,"1115 كم ،",1115 كم,0.5,0.92,0.9
"[Chunk 1]
ويتركز أغلب سكان مصر في وادي النيل وفي الحضر ويشكل وادي النيل والدلتا أقل من 4 % من المساحة الكلية للبلاد أي حوالي 33000 كم 2 ، وأكبر الكتل السكانية هي القاهرة الكبرى التي بها تقريبا ربع السكان ، تليها الإسكندرية ؛ كما يعيش أغلب السكان الباقين في الدلتا وعلى ساحلي البحر المتوسط والبحر الأحمر ومدن قناة السويس ، وتشغل هذه الأماكن ما مساحته 40 ألف كيلومتر مربع . بينما تشكل الصحراء غير المعمورة غالبية مساحة البلاد .

[Chunk 2]
مصر أو ( رسميا : جمهورية مصر العربية ) هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا ، ولديها امتداد آسيوي ، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات ، قدر عدد سكانها ب 104 مليون نسمة ، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا .

[Chunk 3]
مصر أو رسميا جمهورية مصر العربية هي دولة عربية تقع في الركن الشمالي الشرقي من قارة أفريقيا ، ولديها امتداد آسيوي ، حيث تقع شبه جزيرة سيناء داخل قارة آسيا فهي دولة عابرة للقارات ، قدر عدد سكانها ب 104 مليون نسمة ، ليكون ترتيبها الثالثة عشر بين دول العالم بعدد السكان والأكثر سكانا عربيا . ولجمهورية مصر العربية سواحل طويلة على البحرين الأبيض والأحمر ، وتشترك بحدود مع سبعة دول وكيانات فيحدها في الشمال الشرقي منطقة فلسطين ( إسرائيل وقطاع غزة ) بطول 265 كم ، ويحدها من الغرب ليبيا على امتداد خط بطول 1115 كم ، كما تشترك مع السودان بأطول حدود برية لها بطول 1280 كم . بالإضافة إلى حدودها البحرية مع السعودية شرقا وقبرص واليونان شمالا . تبلغ مساحة جمهورية مصر العربية حوالي 1.002.000 كيلومتر مربع والمساحة المأهولة تبلغ 78990 كم 2 بنسبة 7.8 % من المساحة الكلية . وتقسم مصر إداريا إلى 27 محافظة ، وتنقسم كل محافظة إلى تقسيمات إدارية أصغر وهي المراكز أو الأقسام .",أين تتركز الغالبية العظمى من سكان مصر ؟,مصر في وادي النيل وفي الحضر,في القاهرة الكبرى والدلتا.,0.92,0.9,0.5
"[Chunk 1]
أبو القاسم محمد بن عبد الله بن عبد المطلب ( 22 أبريل 571 - 8 يونيو 632 ) يؤمن المسلمون بأنه رسول الله إلى الإنس والجن ؛ ليعيدهم إلى توحيد الله وعبادته شأنه شأن كل الأنبياء والمرسلين ، وهو خاتمهم ، وأرسل للناس كافة ، ويؤمنون أيضا بأنه أشرف المخلوقات وسيد البشر ، كما يعتقدون فيه العصمة . عند ذكر اسمه ، يلحق المسلمون عبارة « صلى الله عليه وسلم » مع إضافة « وآله » و « وصحبه » في بعض الأحيان ، لما جاء في القرآن والسنة النبوية مما يحثهم على الصلاة عليه . . ترك محمد أثرا كبيرا في نفوس المسلمين ، وكثرت مظاهر محبتهم وتعظيمهم له باتباعهم لأمره وأسلوب حياته وتعبده لله ، واحتفالهم بمولده في شهر ربيع الأول ، وقيامهم بحفظ أقواله وأفعاله وصفاته وجمع ذلك في كتب عرفت بكتب السيرة والحديث النبوي . اعتبره الكاتب اليهودي مايكل هارت أعظم الشخصيات أثرا في تاريخ الإنسانية كلها باعتباره « الإنسان الوحيد في التاريخ الذي نجح نجاحا مطلقا على المستوى الديني والدنيوي ».

[Chunk 2]
المسيح عيسى بن مريم ويعرف أيضا بيشوع بالعبرية و بيسوع في العهد الجديد ، هو رسول الله والمسيح في الإسلام ، ويعتبر من أولي العزم من الرسل ، أرسل ليقود بني إسرائيل إلى كتاب مقدس جديد وهو الإنجيل ، ويفضل المسلمون إضافة عبارة "" عليه السلام "" بعد اسمه ككل الأنبياء توقيرا لهم . الإيمان بعيسى ( وكل الأنبياء والرسل ) ركن من أركان الإيمان ، ولا يصح إسلام شخص بدونه . ذكر عيسى باسمه في القرآن 25 مرة ، بينما ذكر محمد 4 مرات .

[Chunk 3]
أبو القاسم محمد بن عبد الله بن عبد المطلب ( 22 أبريل 571 - 8 يونيو 632 ) يؤمن المسلمون بأنه رسول الله إلى الإنس والجن ؛ ليعيدهم إلى توحيد الله وعبادته شأنه شأن كل الأنبياء والمرسلين ، وهو خاتمهم ، وأرسل للناس كافة ، ويؤمنون أيضا بأنه أشرف المخلوقات وسيد البشر ، كما يعتقدون فيه العصمة .",من هو رسول الله ؟,أبو القاسم محمد بن عبد الله بن عبد المطلب,أبو القاسم محمد بن عبد الله بن عبد المطلب (محمد),0.77,0.92,0.9
