retrieved_context,question,reference,response,faithfullness,answer_relevance,answer_correctness
"[Chunk 1]
موسى بن جعفر الكاظم ( 7 صفر 128 ه -25 رجب 183 ه ) أحد أعلام المسلمين ، والإمام السابع عند الشيعة الإثنا عشرية ، والده هو الإمام جعفر بن محمد الصادق أحد فقهاء الإسلام ، قضى جزءا من حياته في السجن ، وعاصر فترة حساسة من تاريخ المسلمين . كنيته أبو إبراهيم وأبو الحسن ، ومن ألقابه : الكاظم والعبد الصالح وباب الحوائج وسيد بغداد .

[Chunk 2]
ولد الإمام موسى بن جعفر الكاظم في قرية يقال لها الأبواء وكانت ولادته يوم الأحد السابع من شهر صفر من سنة 128 وقيل سنة 129 هجرية ، في أيام حكم مروان بن محمد . وبعد فترة وجيزة من ولادته ارتحل أبوه الإمام جعفر الصادق إلى المدينة المنورة فأطعم الناس إطعاما عاما لمدة ثلاثة أيام تيمنا بولادة موسى الكاظم . وتشير بعض المصادر إلى أن الإمام الصادق كان يوليه عناية ومحبة خاصة حتى أنه حينما سئل عن مدى حبه لولده الكاظم أجاب : « وددت أن ليس لي ولد غيره لئلا يشركه في حبي أحد » ترى الشيعة أن هذا ليس مجرد حب غريزي كما يحب أي والد ولده ، بل يرون أن الإمام الصادق كان يريد أن يبين لشيعته أن موسى الكاظم هو الإمام الشرعي من بعده ؛ انطلاقا من عقيدتهم في أن الإمامة مقام كمقام النبوة لا يمكن أن تتحكم به المحاباة أو الغريزة العاطفية .

[Chunk 3]
كان عمر الإمام موسى بن جعفر 55 عاما ، قضى منها 20 عاما في حياة والده جعفر الصادق و 35 بعد وفاته . وقد عاش تلك الفترة في زمن أبيه وارتاد مدرسته العلمية الكبرى التي أنشأها في الكوفة ، والتي خرجت الآلاف من العلماء والفلاسفة والفقهاء والمحدثين ، حتى قال الحسن الوشاء عند مروره بمسجد الكوفة : ، وأما منزل أبيه الصادق فكان أيضا مدرسة علمية يرتادها كبار العلماء والفقهاء ، قال محمد صادق نشأت : وتربى الكاظم في هذا الجو العلمي المشحون بالمناظرات والنقاشات .",ماذا يكنى موسى بن جعفر الكاظم ؟,أبو إبراهيم وأبو الحسن,أبو إبراهيم وأبو الحسن,0.9,0.91,0.8
"[Chunk 1]
وزارة الداخلية السعودية هي الوزارة المسؤولة عن جميع إمارات المناطق ال 13 وأحوال المناطق والأمن الداخلي للمملكة العربية السعودية وحراسة حدودها مع الدول المجاورة والسلامة وخدمة المواطنين في المملكة العربية السعودية . ووزير الداخلية هو الأمير عبد العزيز بن سعود ال سعود منذ 21 يونيو ، 2017 و مساعد و زير الداخلية لشؤون العمليات المشرف على الأمن العام معالي الفريق أول سعيد بن عبدالله القحطاني . و مساعد وزير الداخلية لشؤون التقنية صاحب السمو الأمير الدكتور بندر بن عبدالله بن مشاري آل سعود .

[Chunk 2]
ويتكون من رئيس المجلس ووكيل الخارجية والمالية والشورى ( المادة 1 من نظام مجلس الوكلاء ) ، وكانت مسؤوليات القسمين منوطة بالنائب العام ، - حينذاك - الأمير فيصل بن عبد العزيز . استمرت وزارة الداخلية على هذا الوضع حتى صدر الأمر الملكي الكريم رقم 18 / 4 / 10 وتاريخ 9 / 3 / 1353 ه الذي دمج اختصاصات الوزارة بديوان رئاسة مجلس الوكلاء ، فأصبحت المهام التي كانت تقوم بها وزارة الداخلية منوطة برئاسة مجلس الوكلاء . في عام 1370 ه أعيد إنشاء وزارة الداخلية ، بالمرسوم الملكي رقم 5 / 11 / 8697 وتاريخ 26 / 8 / 1370 ه ، فأصبحت الوزارة مسؤولة عن الإدارة المحلية الممثلة في إمارات المناطق والقطاعات الأمنية في منطقة الحجاز ، وبعد أن انتقلت الوزارة من الحجاز إلى الرياض في عام 1375 ه تولت الإشراف تدريجيا على مناطق المملكة ، حتى اكتمل إشرافها في عام 1380 ه .

[Chunk 3]
تقسم المملكة العربية السعودية إلى 13 منطقة إدارية ، 46 مدينة منها 20 مدينة رئيسية ، وتنقسم كل منطقة منها إلى عدد من المحافظات يختلف عددها من منطقة إلى أخرى ، وتنقسم المحافظة إلى مراكز ترتبط إداريا بالمحافظة أو الإمارة ، وتشتمل الإمارة أو المحافظة أو المركز على عدد من المسميات السكانية ( مدن ، وقرى ، ومزارع ، وموارد مياه ، وتجمع بادية ) ترتبط بها إداريا . تصنف المحافظات في المملكة إلى ثلاث فئات حسب توفر الخدمات ، وتنص المادة الثالثة من نظام المناطق على : « تتكون كل منطقة إداريا من عدد من المحافظات فئة ( أ ) ، والمحافظات فئة ( ب ) ، والمراكز فئة ( أ ) ، والمراكز فئة ( ب ) ، ويراعى في ذلك الاعتبارات السكانية والجغرافية والأمنية والظروف البيئية وطرق المواصلات ». كان يبلغ عدد المحافظات في المملكة 118 محافظة تحتسب ضمنها مراكز الإمارات إلى أن تمت الموافقة سنة 2012 م على زيادة عدد المحافظات لتصل بذلك إلى 134 محافظة بدون احتساب مراكز إمارات المناطق . تعد منطقة الرياض أكثر المناطق تقسيما إذ يبلغ عدد محافظاتها 21 محافظة ، بينما تعد منطقة الجوف ومنطقة الحدود الشمالية أقلها ب 3 محافظات لكل منطقة .",كم عدد امارات المناطق التي تقع تحت مسؤولية وزارة الداخلية السعودية ؟,13 إمارة.,13 إمارة.,0.81,0.9,0.91
"[Chunk 1]
تدعى الخطوط الأفقية في المصفوفة بالأسطر بينما تدعى الخطوط العمودية باسم عمود . أما الأعداد فتدعى مدخلات المصفوفة أو عناصر المصفوفة . ترمز إلى مصفوفة بحرف لاتيني كبير وتحته عددين طبيعيين على شكل جداء هما m و n حيث m هو عدد الصفوف و n عدد الأعمدة . وبالتالي تعرف المصفوفة بعدد الصفوف والأعمدة ("" m "" × n مصفوفة ), وتعرف m و n بأبعاد المصفوفة . فأبعاد المصفوفة أعلاه هي 3 * 4 أي 4 أسطر و 3 أعمدة .

[Chunk 2]
ويعرف عدد الأسطر في عدد الأعمدة برتبة المصفوفة أو قياس المصفوفة . مثال ذلك المصفوفة المحتوية على 4 أسطر و 3 أعمدة قياسها هو 4 * 3 ويمكن اجراء عمليتي الجمع والطرح على المصفوفات المتساوية القياس . كما يمكن ضرب المصفوفات بأنسجام معين في القياس . ولهذه العمليات العديد من خصائص الحساب العادي , باستثناء أن ضرب المصفوفات ليس بعملية تبديلية , وبشكل عام يمكن أن نقول أن A.B لا يساوي B.A. تعرف المصفوف المؤلفة من صف واحد أو عمود واحد بمتجه . أما المصفوفة ذات القياس الأكبر تعرف بموتر .

[Chunk 3]
الخط العربي هو فن وتصميم الكتابة في مختلف اللغات التي تستعمل الحروف العربية . تتميز الكتابة العربية بكونها متصلة مما يجعلها قابلة لاكتساب أشكال هندسية مختلفة من خلال المد والرجع والاستدارة والتزوية والتشابك والتداخل والتركيب . يقترن فن الخط بالزخرفة العربية حيث يستعمل لتزيين المساجد والقصور ، كما أنه يستعمل في تحلية المخطوطات والكتب وخاصة نسخ القرآن الكريم . وقد شهد هذا المجال إقبالا من الفنانين المسلمين بسبب نهي الشريعة عن تصوير البشر والحيوان خاصة في ما يتصل بالأماكن المقدسة والمصاحف .",ماذا تسمى الخطوط الافقية في المصفوفة ؟,بالأسطر,الأسطر.,0.66,0.88,0.9
"[Chunk 1]
عبد العزيز بوتفليقة ( 2 مارس 1937 ، وجدة -) ، الرئيس العاشر للجزائر منذ التكوين والرئيس السابع منذ الاستقلال . في يناير 2005 عينه المؤتمر الثامن رئيسا لحزب جبهة التحرير الوطني . ولد بمدينة وجدة المغربية وهو من أصول أمازيغية . التحق بعد نهاية دراسته الثانوية بصفوف جيش التحرير الوطني الجزائري وهو في 19 من عمره في عام 1956. في نوفمبر 2012 تجاوز في مدة حكمه مدة حكم الرئيس هواري بومدين ليصبح أطول رؤساء الجزائر حكما . وفي 23 فبراير 2014 أعلن وزيره الأول عبد المالك سلال ترشحه لعهدة رئاسية رابعة وسط جدال حاد في الجزائر حول صحته ومدى قدرته على القيام بمهامه كرئيس دولة ترشح لعهدة خامسة وسط جدل كبير في الشارع الجزائري حيث قابل الشعب ترشحه بالرفض لحالته الصحية بعد خروجهم في مظاهرات 22 فيفري 2019 ليعلن اسقالته يوم 2 ابريل 2019 حيث تم تعيين رئيس مجلس الامة عبد القادر بن صالح كرئيس دولة بالنيابة من طرف المجلس الدستوري

[Chunk 2]
يعد الجنرال أحمد قايد صالح أحد أبرز الوجوه العسكرية داخل هرم قيادات الجيش الجزائري خلال فترة العشرية السوداء . في عام 2014 ، وقف قايد صالح بجانب الرئيس عبد العزيز بوتفليقة من خلال دعمه لفترة رئاسية رابعة . لكن مرض الرئيس المتكرر ، جعل الجنرال يتصدر المشهد الإعلامي والسياسي في الجزائر كأحد رموز النظام وممثلهم في جل وسائل الإعلام الوطنية . استمر تأييده في البداية لترشح الرئيس السابق لولاية خامسة ، وخلال الحراك الشعبي الجزائري المناهض للعهدة الخامسة للرئيس الجزائري عبد العزيز بوتفليقة خلال الانتخابات الرئاسية الجزائرية 2019 ، قبل أن يتبني الجنرال خطابا تصالحيا ، أعلن فيه دعم الجيش للشعب الجزائري عقب الحراك الشعبي في الجزائر عام 2019. في 26 مارس 2019 ، اقترح الجنرال أحمد قايد صالح على المجلس الدستوري الجزائري إعلان عائق بوتفليقة الصحي وتطبيق المادة 102 من الدستور الجزائري .

[Chunk 3]
عبد المجيد تبون ، ( 17 نوفمبر 1945 ، المشرية ) سياسي جزائري و رئيس الجمهورية الجزائرية الثامن ، كان رئيس وزراء الجزائر الأسبق في حكومة 2017 للفترة من 25 مايو 2017 ، إلى 15 أغسطس 2017 في عهد الرئيس بوتفليقة ووزير للسكن والعمران في عدة حكومات جزائرية ووزير للاتصال وتبوأ مناصب مختلفة في الدولة . كان في صفوف حزب جبهة التحرير الوطني ، لكنه رشح نفسه كمستقل في انتخابات الرئاسة التي فاز فيها . تخرج من المدرسة الوطنية للإدارة ، في اختصاص اقتصاد ومالية 1965 ، الدفعة الثانية في جويلية 1969.",من عبد العزيز بوتفليقة ؟,الرئيس العاشر للجزائر منذ التكوين,رئيس الجزائر منذ التكوين والرئيس السابع منذ الاستقلال.,0.88,0.91,0.88
"[Chunk 1]
اليمن أو ( رسميا : الجمهورية اليمنية ) ، هي دولة عربية تقع جنوب غرب شبه الجزيرة العربية في غربي آسيا . تبلغ مساحتها حوالي 555 , 000 كيلو متر مربع ، ويبلغ عدد سكانها 26 , 687 , 000 نسمة حسب الإسقاط السكاني لعام 2015. يحد اليمن من الشمال المملكة العربية السعودية ومن الشرق سلطنة عمان ، ولها ساحل جنوبي على بحر العرب وساحل غربي على البحر الأحمر . ولدى اليمن أكثر من 200 جزيرة في البحر الأحمر وبحر العرب أكبرها جزيرتي سقطرى وحنيش . ينص الدستور اليمني على ديمقراطية الدولة وإقرارها التعددية الحزبية والسياسية وتبنيها نظام اقتصادي حر والالتزام بالمواثيق والعهود الدولية المنصوص عليها في الإعلان العالمي لحقوق الإنسان وأن الشريعة الإسلامية هي المصدر الأساسي للتشريع . اليمن عضو في جامعة الدول العربية والأمم المتحدة وحركة عدم الانحياز ومنظمة التعاون الإسلامي ومنظمة التجارة العالمية .

[Chunk 2]
تعتبر اليمن من أقدم مراكز الحضارة في العالم القديم . لا يعرف بالتحديد متى بدأ تاريخ اليمن القديم ، لكن بعض نقوش حضارة بلاد ما بين النهرين تصور أنها بدأت منذ زمن بعيد . فعلى سبيل المثال ذكرت سبأ في نص سومري يعود إلى حوالي سنة 2500 ق . م ، أي منذ منتصف الألفية الثالثة قبل الميلاد . إن ما وجد من النقوش في اليمن كشف النقاب عن تاريخ اليمن القديم العائد إلى أواخر الألفية الثانية ق . م . من أهم وأشهر ممالك اليمن القديم مملكة سبأ ومعين وقتبان وحضرموت وحمير وكانوا مسؤولين عن تطوير أحد أقدم الأبجديات في العالم المعروفة بخط المسند ، عدد النصوص والكتابات والشواهد الأركيولوجية في اليمن أكثر من باقي أقاليم شبه الجزيرة العربية ، أطلق عليها الروم تسمية العربية السعيدة . وقامت عدة دول في العصور الوسطى مثل الدولة الزيادية الدولة اليعفرية والإمامة الزيدية والدولة الطاهرية وأقواها كانت الدولة الرسولية . استقل ما عرف بشمال اليمن عن الدولة العثمانية عام 1918 وقامت المملكة المتوكلية اليمنية إلى إسقاطها عام 1962 وقيام الجمهورية العربية اليمنية ، بينما بقي جنوب اليمن محمية بريطانية إلى العام 1967 وقيام جمهورية اليمن الديمقراطية الشعبية . تحققت الوحدة اليمنية في 22 مايو 1990.

[Chunk 3]
قامت المملكة المتوكلية اليمنية عام 1918 بقيادة الإمام يحيى حميد الدين . كانت مملكة منغلقة على العالم وتبنى سياسة إنعزالية خوفا من أن تسقط بلاده لسلطة القوى الإستعمارية المتحاربة عقب الحرب العالمية الأولى وبالذات إيطاليا وبريطانيا وكذلك لإبعاد المملكة عن التيارات القومية التي ظهرت في المنطقة العربية تلك الفترة وساعده في ذلك أن جل المجتمع اليمني على أيامه كانوا من المزارعين يعيشون في قرى مكتفية ذاتيا . منع الإمام يحيى السفارات والبعثات الدبلوماسية من دخول البلاد وأي زائر أجنبي كان بحاجة إلى إذن شخصي منه أسس الإمام يحيى حميد الدين حكما ثيوقراطيا زيديا تجاهل أبناء المذاهب الأخرى مثل الشافعية والإسماعيلية واعتبر يهود اليمن ذميين ظهرت حركات معارضة للمملكة بعضها نتيجة احتكاك تيارات فكرية معينة بالخارج مثل محمد محمود الزبيري وبعضها إعتراضا على نية الإمام يحيى توريث ابنه أحمد بن يحيى ، وكان عبد الله الوزير من أبرز معارضي التوريث وانتخب "" إماما دستوريا "" ليقود ثورة الدستور عام 1948. قتل الإمام يحيى خلالها وتمكن ابنه أحمد من إنقاذ المملكة .",ما الاسم الرسمي لدولة اليمن ؟,الجمهورية اليمنية,الجمهورية اليمنية.,0.9,0.9,0.9
"[Chunk 1]
ولدت نوال السعداوي في 27 أكتوبر عام 1931 لعائله تقليدية ومحافظة بقرية كفر طحلة إحدى قرى مركز بنها التابع لمحافظة القليوبية . كانت الطفلة الثانية من بين تسعة أطفال . ختنت في السادسة من عمرها . أصر والدها على تعليم جميع أولاده . كان والدها مسؤولا حكوميا في وزارة التربية والتعليم ، وكان من الذين ثاروا ضد الاحتلال البريطاني لمصر والسودان كما شارك في ثورة 1919 ، وكعقاب له تم نقله لقرية صغيرة في الدلتا وحرمانه من الترقية لمدة 10 سنوات . استمدت منه إحترام الذات ووجوب التعبير عن الرأي بحرية وبدون قيود مهما كانت النتائج ، كما شجعها على دراسة اللغات . توفي كلا والديها في سن مبكرة لتحمل نوال العبء الكبير للعائلة .

[Chunk 2]
تخرجت نوال من كلية الطب جامعة القاهرة في ديسمبر عام 1955 وحصلت على بكالوريوس الطب والجراحة وتخصصت في مجال الأمراض الصدرية وعملت كطبيبة امتياز بالقصر العيني ، تزوجت في نفس العام من "" أحمد حلمي "" زميل دراستها في الكلية . لم يستمر الزواج لفترة طويلة فإنتهى بعدها بعامين . وعندما سئلت عنه في إحدى حوارتها قالت :

[Chunk 3]
لقيت مصرعها في دبي عندما عثر عليها مقتولة في شقتها في 28 يوليو 2008 بعد أن عاجلها القاتل بمجرد دخوله باب الشقة بسكين على رقبتها ، ونفى القائد العام لشرطة دبي في مؤتمر صحفي لاحقا في 10 أغسطس ماتردد في وسائل إعلامية عن التمثيل بالجثة أو قطع رقبتها أو طعنها عدة طعنات . وكانت وسائل إعلام ومواقع على الإنترنت ذكرت أنها توفيت إثر تلقيها عدة طعنات بالسكين ، وإن جثتها قد تم التمثيل بها . كما أكدت عائلتها خلال التشييع أن جثتها غير مشوهة وأن وجهها سليم ودعت إلى عدم تصديق أي من الإشاعات الصادرة من كل الأطراف . وقد قامت شرطة دبي بالتحقيق في الجريمة ..",كم كان عمر نوال السعداوي حينما تم ختانها ؟,في السادسة من عمرها,كان عمر نوال السعداوي 6 سنوات عندما تم ختانها.,0.92,0.91,0.9
"[Chunk 1]
ثم شارك مع المنتخب العراقي في بطولة الأردن الودية في شهر اب 1992 وكان منتخب العراق في المجموعة الثانية حيث التقى في أولى مبارياته ضد المنتخب الإثيوبي في ملعب أربد . وحقق فيها منتخب العراق الفوز على المنتخب الإثيوبي بثلاثة عشر هدفا مقابل لاشئ . وكان ذلك أكبر فوز عراقي في تاريخة ، سجل فيها أحمد راضي خمسة أهداف ، وكلا من سعد قيس وحبيب جعفر وليث حسين هدفين ، وهدف واحد لكلا من نعيم صدام ، ومهدي كاظم ، بينما ألغي هدف للاعب شرار حيدر . بعدها لعب منتخب العراق مباراته الثانية مع المنتخب الكونغولي وفاز عليه بثلاثة اهداف نظيفة سجلها أحمد راضي هدفين وهدف لنعيم صدام . ولاقى بعدها نادي وفاق سطيف الجزائري في مباراة رائعة تألق فيها النجم أكرم عمانؤيل الذي سجل ثلاثة اهداف ( هاترك ). وبذلك تاهل منتخب العراق على راس المجموعة الثانية لمقابلة ثاني المجموعة الأولى منتخب مولدوفيا وفيها فاز العراق بهدف حبيب جعفر من تسديدة جميلة . ليتأهل إلى النهائي ويلاقي منتخب الأردن في عمان على ستاد الملك حسين بغياب سعد قيس وخسر المباراة بهدفين نظيفين جاءا في الشوط الثاني ، فأحرز العراق المركز الثاني في البطولة بينما حصل أحمد راضي على لقب لقب هداف البطولة .

[Chunk 2]
عدنان درجال مطر لاعب كرة قدم ومدرب عراقي . نتيجة لمشاركاته المتواصله وعطائه مع المنتخبات العراقية فهو صاحب الارقام القياسية من حيث المشاركات حيث انه أكثر لاعب شارك في الألعاب الأولمبية وبجميع المباريات العشرة التي خاضها منتخب العراق في الثلاث المرات التي تاهل لهاوهو كذلك أكثر لاعب عراقي اشترك في دورات الخليج اعوام 79 – 82– 84 – 88 - 90 وحصل خلالها على ثلاث القاب واشترك ب 22 مباراة في هذه البطولة وكان كابتن المنتخب في عام 1988

[Chunk 3]
محمد صلاح حامد محروس غالي ( من مواليد 15 يونيو 1992 ، بمدينة نجريج في مصر ) ، هو لاعب كرة قدم دولي مصري ، يلعب في مركز الجناح الأيمن مع نادي ليفربول في الدوري الإنجليزي الممتاز ومنتخب مصر لكرة القدم . يعد أحد أبرز اللاعبين العرب والأفارقة ، حيث حصد العديد من الجوائز أبرزها جائزة أفضل لاعب في إنجلترا 2018 ، وجائزة أفضل هدف في الموسم 2018 ، وجائزة الاتحاد الأفريقي لأفضل لاعب في أفريقيا لعامي 2017 و 2018 ، جائزة أفضل لاعب أفريقي بواسطة البي بي سي لعامي 2017 و 2018 ، وأفضل لاعب في الدوري الإنجليزي لعام 2018 ، وجائزة الحذاء الذهبي في الدوري الإنجليزي الممتاز ( هداف الدوري الإنجليزي الممتاز ) عامي 2018 و 2019. اختير من قبل مجلة تايم الأمريكية في عام 2019 ضمن أكثر 100 شخصية تأثيرا في العالم .",كم هدف سجل أحمد رتضي في مبارة المنتخب العراقي ضد المنتخب الإثيوبي ؟,خمسة أهداف,خمسة أهداف.,0.56,0.9,0.91
"[Chunk 1]
الإلكترون ( رمزه : e ) هو جسيم دون ذري كروي الشكل تقريبا مكون للذرة ويحمل شحنة كهربائية سالبة . ولم يكن من المعروف بأن لديها مكونات أو جسيمات أصغر ، لذا فقد اعتبرت بأنها جسيمات أولية . فالإلكترون لديه كتلة تعادل تقريبا 1 / 1836 من كتلة البروتون . الزخم الزاوي الحقيقي ( وهو اللف المغزلي ) للإلكترون هو قيمة نصف عدد صحيح من وحدة """" ، مما يعني بأنه فرميون . ويسمى الجسيم المضاد للإلكترون بالبوزيترون ، وهو مطابق للإلكترون عدا أنه معاكس له بالشحنة الكهربائية والشحنات الأخرى . عند اصطدام الإلكترون بالبوزترون فإنهما إما يبعثران بعضهما البعض أو أن يفنيان ، مما ينتج عن ذلك زوج أو أكثر من فوتونات أشعة غاما . تنتمي الإلكترونات إلى الجيل الأول لأسرة جسيمات ليبتون ، وتسهم في القوى الأساسية وهي الجاذبية والكهرومغناطيسية والقوة النووية الضعيفة . كما هو في المادة فإن الإلكترون لديه خصائص ازدواجية موجة - جسيم في ميكانيكا الكم ، لذا فبإمكانه الاصطدام مع الجسيمات الأخرى فينحرف مثل الضوء . لكن وبسبب صغر كتلة الإلكترون فإن تلك الازدواجية تتجلى بشكل أفضل في التجارب المخبرية . وبما أنها تندرج تحت عائلة الفرميون ، وبحسب مبدأ استبعاد باولي فلا يمكن لإلكترونين أن يأخذا نفس حالة الكم .

[Chunk 2]
يتم وصف حالة تواجد الإلكترون في الذرة بأربعة أرقام للكم . ثلاثة منها هي خواص المدار الذري الذي يوجد فيه ( يوجد شرح لاحق في هذه المقالة ) ، والرقم الرابع إما 12 أو -12 وهو يعبر عن الدوران المغزلي للإلكترون ( أي دورانه حول نفسه ). العزم المغناطيسي الذاتي للإلكترون ينشأ عن دوران الإلكترون حول محوره ( دوران مغزلي ) ، والذي يعبر عنه بعدد الكم المغزلي . عدد الكم المغزلي خاصية خاصة للإلكترون ولا تعتمد على الأرقام الأخرى . ويرمز لها بالرمز "" s "" وتأخذ فقط القيم +1 / 2 أو -1 / 2 ( أحيانا يرجع لهما بأعلى أو أسفل ، إشارة إلى اتجاه عزم الإلكترون المغناطيسي ).

[Chunk 3]
سوية أو مستوى الطاقة في الفيزياء الذرية والفيزياء الجزيئية وكيمياء الكم ، هي مدارات وهمية لحالة ترابط بين جيسمين في ميكانيكا الكم مثل حالة الإلكترون المرتبط بالذرة ويدور حول النواة . ويتم استخدام المصطلح غلاف الطاقة كمرجع للتوزيع الإلكتروني في الذرة أو الجزيء . وطبقا لنظرية الكم فإن الإلكترون يوجد فقط في حالات كمومية "" مدارات "" معينة أو أغلفة ذات طاقة معينة . هذا يعنى أن طاقة الإلكترون في الذرة أو في الجزيء تكون في شكل كمات ( اقرأ الطيف و هزاز توافقي لمزيد من التفاصيل ). وطبقا لتعريفات طاقة الوضع التقليدية ، فإن طاقة الوضع تساوى صفر عند اللا نهاية ، مما يؤدى لوجود طاقة وضع سالبة لحالة ترابط الإلكترون في الذرة .",ماذا يسمى دوران الإلكترون حول محوره ؟,دوران مغزلي,دوران مغزلي.,0.88,0.9,0.9
"[Chunk 1]
حتى عام 1992 ، أعلى درجة في كرة القدم الإنجليزية كانت الدرجة الأولى ؛ ومنذ ذلك الحين ، أصبح الدوري الإنجليزي الممتاز هو الأعلى . فتم تشكيل مسابقة الدوري الإنجليزي الممتاز في 20 فبراير 1992 ، بعد قرار أندية الدرجة الأولى الانفصال عن دوري الدرجة الأولى ، الذي تأسس عام 1888 ; وذلك للاستفادة من صفقات مربحة من حقوق البث التلفزيوني . ومن ذلك الحين أصبح الدوري الإنجليزي الممتاز أكثر دوري مشاهدة في العالم ، وهو كذلك أكثر دوري كرة قدم ربحا ; وذلك بإيرادات الأندية مجتمعة بلغت 1.93 مليار دولار في موسم 2007 -2008 ، وهو كذلك صاحب المركز الأول في ترتيب الإتحاد الأوروبي لكرة القدم للدوريات من حيث الأداء في البطولات الأوروبية خلال الخمس سنوات الماضية ، متفوقا على الدوري الإسباني والدوري الإيطالي .

[Chunk 2]
الدوري الإنجليزي الممتاز هو دوري كرة القدم للقسم الأول في إنجلترا وقد تم استخدام مسمى الدوري الممتاز في سنة 1992 م . يتكون الدوري من 20 فريق ، برعاية بنك باركليز ، ولذلك يسمى دوري باركليز الممتاز . ينطلق الدوري في شهر أغسطس وينتهي في شهر مايو ، ويلعب كل فريق 38 مباراة ، ليصبح المجموع 380 مباراة في الموسم الواحد ، تلعب معظم المباريات يومي السبت والأحد ، ولكن عدد قليل من المباريات تلعب خلال أمسيات منتصف الأسبوع .

[Chunk 3]
منذ بدأ النظام الحالي للبطولة في عام 1992 ، ومن مجموع 44 ناديا نافست على الدوري الإنجليزي الممتاز ، ستة أندية فقط فازوا باللقب : أرسنال ( 3 ألقاب ) ، بلاكبيرن روفرز ( لقب واحد ) ، تشيلسي ( 6 ألقاب ) ، مانشستر سيتي ( 3 ألقاب ) ، مانشستر يونايتد ( 13 لقب ) ، ليستر سيتي ( لقب واحد ). حامل اللقب في الدوري الحالي هو نادي مانشستر سيتي ، الذي فاز بلقب موسم 2018–19. تم تشكيل مسابقة الدوري الإنجليزي الممتاز في 20 فبراير 1992 والذي حل محل الدوري الإنجليزي للمحترفين موسم 1992 -1993. وهذه الخطوة التاريخية تعني تغيير نظام بطولة استمرت 104 سنة وتغيير نظامها الذي يحتوي على دوري من أربع درجات . وكانت الخطوة هذه هي لتعزيز كرة القدم في إنجلترا بعد معاناة في منتصف الثمانينات من ضعف الإمكانيات المادية ومشاكل مشاغبي كرة القدم الإنجليز ( الهوليغانز ) .",ما هي أعلى درجة في كرة القدم الانجليزية حتى عام 1992 ؟,الدرجة الأولى,الدرجة الأولى.,0.92,0.88,0.9
"[Chunk 1]
الإمارات أو ( رسميا : الإمارات العربية المتحدة ) هي دولة عربية اتحادية تقع في شرق شبه الجزيرة العربية في جنوب غرب قارة آسيا تطل على الشاطئ الجنوبي الخليج العربي لها حدود بحرية مشتركة من الشمال الغربي مع دولة قطر ومن الغرب حدود برية وبحرية مع المملكة العربية السعودية ومن الجنوب الشرقي مع سلطنة عمان ، قبل 1971 كانت دولة الإمارات العربية المتحدة معروفة باسم الإمارات المتصالحة أو ساحل عمان ، في إشارة إلى هدنة في القرن 19 بين المملكة المتحدة والعديد من شيوخ العرب كما تم استخدام اسم ساحل القراصنة في إشارة إلى الإمارات في المنطقة من القرن 18 إلى القرن 20 في وقت مبكر ويتكون النظام السياسي في دولة الإمارات العربية المتحدة إستنادا إلى دستور عام 1971 من عدة هيئات مرتبطة بشكل معقد الإدارة . الإسلام هو الدين الرسمي واللغة العربية هي اللغة الرسمية .

[Chunk 2]
تأتي في المرتبة 7 في العالم من حيث احتياطاتها النفطية ودولة الإمارات العربية المتحدة تمتلك واحدا من أكثر الاقتصادات نموا في غرب آسيا ، إن اقتصاد دولة الإمارات يحتل المرتبة 22 على مستوى العالم في أسعار الصرف في السوق وهي ثاني أكبر دولة في القوة الشرائية للفرد الواحد وعلى نسبة عالية نسبيا في مؤشر التنمية البشرية للقارة الآسيوية وتحتل المرتبة 40 عالميا . دولة الإمارات العربية المتحدة تصنف على أنها ذات الدخل المرتفع والتطوير الاقتصاد النامي من خلال صندوق النقد الدولي . نظام الحكومة في دولة الإمارات العربية المتحدة هو نظام اتحادي دستوري ، دولة الإمارات عضو مؤسس في مجلس التعاون لدول الخليج العربية وجامعة الدول العربية والأمم المتحدة ومنظمة المؤتمر الإسلامي ومنظمة أوبك ومنظمة التجارة العالمية .

[Chunk 3]
الشيخ خليفة بن زايد بن سلطان بن زايد بن خليفة بن شخبوط بن ذياب آل نهيان الفلاحي ( 7 سبتمبر 1948 ) رئيس دولة الإمارات العربية المتحدة وحاكم إمارة أبو ظبي القائد الأعلى للقوات المسلحة لدولة الإمارات العربية المتحدة . هو أكبر أبناء الشيخ زايد بن سلطان آل نهيان وكان وليا لعهده فخلف والده بعد وفاته في حكم إمارة أبو ظبي وانتخبه المجلس الأعلى للاتحاد رئيسا للدولة في 3 نوفمبر 2004 واعتبرته صحيفة التايمز من القادة الخمسة والعشرين الأكثر تأثيرا في العالم . و يصنف كرابع أغنى ملك في العالم .",ما هو نظام الحكم في دولة الامارات العربية المتحدة ؟,نظام اتحادي دستوري,نظام الحكومة في دولة الإمارات العربية المتحدة هو نظام اتحادي دستوري.,0.91,0.9,0.9
